K01672	Dmel_CG11284:Dmel_CG11284
dme_Dmel_CG42369	Dmel_CG42369:Dmel_CG42369
dme_Dmel_CG8378	Dmel_CG8378:Dmel_CG8378
dme_Dmel_CG8379	Dmel_CG8379:Dmel_CG8379
dme_Dmel_CG42362	Dmel_CG42362:Dmel_CG42362
dme_Dmel_CG4193	Dmel_CG4193:Dmel_CG4193
dme_Dmel_CG8374	Dmel_CG8374:Dmel_CG8374
dme_Dmel_CG42361	Dmel_CG42361:Dmel_CG42361
dme_Dmel_CG31750	Dmel_CG31750:Dmel_CG31750
dme_Dmel_CG42365	Dmel_CG42365:Dmel_CG42365
dme_Dmel_CG2911	Dmel_CG2911:Dmel_CG2911
dme_Dmel_CG11905	Dmel_CG11905:Dmel_CG11905
dme_Dmel_CG9029	Dmel_CG9029:Dmel_CG9029
dme_Dmel_CG9028	Dmel_CG9028:Dmel_CG9028
dme_Dmel_CG2916	Dmel_CG2916:Dmel_CG2916
dme_Dmel_CG2919	Dmel_CG2919:Dmel_CG2919
dme_Dmel_CG2656	Dmel_CG2656:Dmel_CG2656
dme_Dmel_CG5242	Dmel_CG5242:Dmel_CG5242
dme_Dmel_CG9021	Dmel_CG9021:Dmel_CG9021
dme_Dmel_CG2269	Dmel_CG2269:Dmel_CG2269
dme_Dmel_CG7216	Dmel_CG7216:Dmel_CG7216
dme_Dmel_CG10703	Dmel_CG10703:Dmel_CG10703
dme_Dmel_CG10701	Dmel_CG10701:Dmel_CG10701
dme_Dmel_CG10700	Dmel_CG10700:Dmel_CG10700
dme_Dmel_CG30051	Dmel_CG30051:Dmel_CG30051
dme_Dmel_CG10704	Dmel_CG10704:Dmel_CG10704
dme_Dmel_CG4602	Dmel_CG4602:Dmel_CG4602
dme_Dmel_CG13879	Dmel_CG13879:Dmel_CG13879
dme_Dmel_CG4605	Dmel_CG4605:Dmel_CG4605
dme_Dmel_CG4609	Dmel_CG4609:Dmel_CG4609
dme_Dmel_CG18273	Dmel_CG18273:Dmel_CG18273
dme_Dmel_CG31509	Dmel_CG31509:Dmel_CG31509
dme_Dmel_CG12567	Dmel_CG12567:Dmel_CG12567
dme_Dmel_CG7818	Dmel_CG7818:Dmel_CG7818
dme_Dmel_CG31875	Dmel_CG31875:Dmel_CG31875
dme_Dmel_CG11147	Dmel_CG11147:Dmel_CG11147
dme_Dmel_CG31872	Dmel_CG31872:Dmel_CG31872
dme_Dmel_CG9620	Dmel_CG9620:Dmel_CG9620
dme_Dmel_CG2862	Dmel_CG2862:Dmel_CG2862
dme_Dmel_CG12360	Dmel_CG12360:Dmel_CG12360
dme_Dmel_CG5968	Dmel_CG5968:Dmel_CG5968
dme_Dmel_CG8080	Dmel_CG8080:Dmel_CG8080
dme_Dmel_CG10112	Dmel_CG10112:Dmel_CG10112
dme_Dmel_CG13337	Dmel_CG13337:Dmel_CG13337
dme_Dmel_CG8813	Dmel_CG8813:Dmel_CG8813
dme_Dmel_CG16840	Dmel_CG16840:Dmel_CG16840
dme_Dmel_CG7033	Dmel_CG7033:Dmel_CG7033
dme_Dmel_CG5805	Dmel_CG5805:Dmel_CG5805
dme_Dmel_CG5482	Dmel_CG5482:Dmel_CG5482
dme_Dmel_CG5484	Dmel_CG5484:Dmel_CG5484
dme_Dmel_CG31200	Dmel_CG31200:Dmel_CG31200
dme_Dmel_CG5488	Dmel_CG5488:Dmel_CG5488
dme_Dmel_CG2608	Dmel_CG2608:Dmel_CG2608
dme_Dmel_CG10637	Dmel_CG10637:Dmel_CG10637
dme_Dmel_CG14283	Dmel_CG14283:Dmel_CG14283
dme_Dmel_CG10635	Dmel_CG10635:Dmel_CG10635
dme_Dmel_CG10145	Dmel_CG10145:Dmel_CG10145
dme_Dmel_CG10144	Dmel_CG10144:Dmel_CG10144
dme_Dmel_CG10630	Dmel_CG10630:Dmel_CG10630
dme_Dmel_CG5645	Dmel_CG5645:Dmel_CG5645
dme_Dmel_CG11722	Dmel_CG11722:Dmel_CG11722
dme_Dmel_CG10638	Dmel_CG10638:Dmel_CG10638
dme_Dmel_CG31510	Dmel_CG31510:Dmel_CG31510
dme_Dmel_CG15266	Dmel_CG15266:Dmel_CG15266
dme_Dmel_CG15261	Dmel_CG15261:Dmel_CG15261
dme_Dmel_CG1906	Dmel_CG1906:Dmel_CG1906
dme_Dmel_CG5746	Dmel_CG5746:Dmel_CG5746
dme_Dmel_CG40228	Dmel_CG40228:Dmel_CG40228
dme_Dmel_CG33126	Dmel_CG33126:Dmel_CG33126
dme_Dmel_CG4463	Dmel_CG4463:Dmel_CG4463
dme_Dmel_CG10059	Dmel_CG10059:Dmel_CG10059
dme_Dmel_CG11926	Dmel_CG11926:Dmel_CG11926
dme_Dmel_CG11927	Dmel_CG11927:Dmel_CG11927
dme_Dmel_CG2046	Dmel_CG2046:Dmel_CG2046
dme_Dmel_CG2044	Dmel_CG2044:Dmel_CG2044
dme_Dmel_CG5808	Dmel_CG5808:Dmel_CG5808
dme_Dmel_CG2041	Dmel_CG2041:Dmel_CG2041
dme_Dmel_CG1116	Dmel_CG1116:Dmel_CG1116
dme_Dmel_CG14027	Dmel_CG14027:Dmel_CG14027
dme_Dmel_CG3077	Dmel_CG3077:Dmel_CG3077
dme_Dmel_CG10038	Dmel_CG10038:Dmel_CG10038
dme_Dmel_CG10035	Dmel_CG10035:Dmel_CG10035
dme_Dmel_CG14220	Dmel_CG14220:Dmel_CG14220
dme_Dmel_CG14221	Dmel_CG14221:Dmel_CG14221
dme_Dmel_CG15007	Dmel_CG15007:Dmel_CG15007
dme_Dmel_CG15006	Dmel_CG15006:Dmel_CG15006
dme_Dmel_CG5532	Dmel_CG5532:Dmel_CG5532
dme_Dmel_CG7664	Dmel_CG7664:Dmel_CG7664
dme_Dmel_CG10529	Dmel_CG10529:Dmel_CG10529
dme_Dmel_CG15008	Dmel_CG15008:Dmel_CG15008
dme_Dmel_CG11037	Dmel_CG11037:Dmel_CG11037
dme_Dmel_CG14925	Dmel_CG14925:Dmel_CG14925
dme_Dmel_CG11035	Dmel_CG11035:Dmel_CG11035
dme_Dmel_CG15735	Dmel_CG15735:Dmel_CG15735
dme_Dmel_CG5439	Dmel_CG5439:Dmel_CG5439
dme_Dmel_CG6293	Dmel_CG6293:Dmel_CG6293
dme_Dmel_CG5063	Dmel_CG5063:Dmel_CG5063
dme_Dmel_CG15025	Dmel_CG15025:Dmel_CG15025
dme_Dmel_CG5189	Dmel_CG5189:Dmel_CG5189
dme_Dmel_CG15739	Dmel_CG15739:Dmel_CG15739
dme_Dmel_CG15738	Dmel_CG15738:Dmel_CG15738
dme_Dmel_CG6299	Dmel_CG6299:Dmel_CG6299
dme_Dmel_CG4887	Dmel_CG4887:Dmel_CG4887
dme_Dmel_CG18773	Dmel_CG18773:Dmel_CG18773
dme_Dmel_CG4880	Dmel_CG4880:Dmel_CG4880
dme_Dmel_CG13951	Dmel_CG13951:Dmel_CG13951
dme_Dmel_CG17019	Dmel_CG17019:Dmel_CG17019
dme_Dmel_CG15432	Dmel_CG15432:Dmel_CG15432
dme_Dmel_CG32464	Dmel_CG32464:Dmel_CG32464
dme_Dmel_CG8539	Dmel_CG8539:Dmel_CG8539
dme_Dmel_CG14286	Dmel_CG14286:Dmel_CG14286
dme_Dmel_CG14285	Dmel_CG14285:Dmel_CG14285
dme_Dmel_CG13423	Dmel_CG13423:Dmel_CG13423
dme_Dmel_CG13422	Dmel_CG13422:Dmel_CG13422
dme_Dmel_CG2139	Dmel_CG2139:Dmel_CG2139
dme_Dmel_CG13427	Dmel_CG13427:Dmel_CG13427
dme_Dmel_CG18777	Dmel_CG18777:Dmel_CG18777
dme_Dmel_CG13148	Dmel_CG13148:Dmel_CG13148
dme_Dmel_CG15367	Dmel_CG15367:Dmel_CG15367
dme_Dmel_CG15645	Dmel_CG15645:Dmel_CG15645
dme_Dmel_CG12140	Dmel_CG12140:Dmel_CG12140
dme_Dmel_CG18508	Dmel_CG18508:Dmel_CG18508
dme_Dmel_CG3429	Dmel_CG3429:Dmel_CG3429
dme_Dmel_CG6908	Dmel_CG6908:Dmel_CG6908
dme_Dmel_CG6907	Dmel_CG6907:Dmel_CG6907
dme_Dmel_CG14513	Dmel_CG14513:Dmel_CG14513
dme_Dmel_CG14527	Dmel_CG14527:Dmel_CG14527
dme_Dmel_CG5789	Dmel_CG5789:Dmel_CG5789
dme_Dmel_CG14517	Dmel_CG14517:Dmel_CG14517
dme_Dmel_CG3421	Dmel_CG3421:Dmel_CG3421
dme_Dmel_CG3420	Dmel_CG3420:Dmel_CG3420
dme_Dmel_CG10853	Dmel_CG10853:Dmel_CG10853
dme_Dmel_CG10852	Dmel_CG10852:Dmel_CG10852
dme_Dmel_CG14933	Dmel_CG14933:Dmel_CG14933
dme_Dmel_CG31274	Dmel_CG31274:Dmel_CG31274
dme_Dmel_CG31278	Dmel_CG31278:Dmel_CG31278
dme_Dmel_CG30467	Dmel_CG30467:Dmel_CG30467
dme_Dmel_CG5935	Dmel_CG5935:Dmel_CG5935
dme_Dmel_CG1958	Dmel_CG1958:Dmel_CG1958
dme_Dmel_CG4413	Dmel_CG4413:Dmel_CG4413
dme_Dmel_CG13392	Dmel_CG13392:Dmel_CG13392
dme_Dmel_CG7504	Dmel_CG7504:Dmel_CG7504
dme_Dmel_CG7506	Dmel_CG7506:Dmel_CG7506
dme_Dmel_CG7503	Dmel_CG7503:Dmel_CG7503
dme_Dmel_CG13551	Dmel_CG13551:Dmel_CG13551
dme_Dmel_CG14354	Dmel_CG14354:Dmel_CG14354
dme_Dmel_CG13559	Dmel_CG13559:Dmel_CG13559
dme_Dmel_CG14353	Dmel_CG14353:Dmel_CG14353
dme_Dmel_CG32562	Dmel_CG32562:Dmel_CG32562
dme_Dmel_CG6639	Dmel_CG6639:Dmel_CG6639
dme_Dmel_CG13379	Dmel_CG13379:Dmel_CG13379
dme_Dmel_CG13374	Dmel_CG13374:Dmel_CG13374
dme_Dmel_CG15862	Dmel_CG15862:Dmel_CG15862
dme_Dmel_CG3732	Dmel_CG3732:Dmel_CG3732
dme_Dmel_CG3731	Dmel_CG3731:Dmel_CG3731
dme_Dmel_CG15479	Dmel_CG15479:Dmel_CG15479
dme_Dmel_CG3735	Dmel_CG3735:Dmel_CG3735
dme_Dmel_CG3734	Dmel_CG3734:Dmel_CG3734
dme_Dmel_CG3085	Dmel_CG3085:Dmel_CG3085
dme_Dmel_CG3738	Dmel_CG3738:Dmel_CG3738
dme_Dmel_CG3082	Dmel_CG3082:Dmel_CG3082
dme_Dmel_CG8611	Dmel_CG8611:Dmel_CG8611
dme_Dmel_CG17642	Dmel_CG17642:Dmel_CG17642
dme_Dmel_CG8613	Dmel_CG8613:Dmel_CG8613
dme_Dmel_CG8612	Dmel_CG8612:Dmel_CG8612
dme_Dmel_CG13088	Dmel_CG13088:Dmel_CG13088
dme_Dmel_CG13086	Dmel_CG13086:Dmel_CG13086
dme_Dmel_CG13081	Dmel_CG13081:Dmel_CG13081
dme_Dmel_CG4198	Dmel_CG4198:Dmel_CG4198
dme_Dmel_CG13082	Dmel_CG13082:Dmel_CG13082
dme_Dmel_CG7347	Dmel_CG7347:Dmel_CG7347
dme_Dmel_CG4199	Dmel_CG4199:Dmel_CG4199
dme_Dmel_CG3038	Dmel_CG3038:Dmel_CG3038
dme_Dmel_CG1828	Dmel_CG1828:Dmel_CG1828
dme_Dmel_CG7340	Dmel_CG7340:Dmel_CG7340
dme_Dmel_CG1825	Dmel_CG1825:Dmel_CG1825
dme_Dmel_CG7439	Dmel_CG7439:Dmel_CG7439
dme_Dmel_CG6123	Dmel_CG6123:Dmel_CG6123
dme_Dmel_CG13778	Dmel_CG13778:Dmel_CG13778
dme_Dmel_CG6125	Dmel_CG6125:Dmel_CG6125
dme_Dmel_CG32368	Dmel_CG32368:Dmel_CG32368
dme_Dmel_CG1822	Dmel_CG1822:Dmel_CG1822
dme_Dmel_CG7658	Dmel_CG7658:Dmel_CG7658
dme_Dmel_CG33837	Dmel_CG33837:Dmel_CG33837
dme_Dmel_CG33834	Dmel_CG33834:Dmel_CG33834
dme_Dmel_CG33835	Dmel_CG33835:Dmel_CG33835
dme_Dmel_CG33832	Dmel_CG33832:Dmel_CG33832
dme_Dmel_CG33833	Dmel_CG33833:Dmel_CG33833
dme_Dmel_CG33830	Dmel_CG33830:Dmel_CG33830
dme_Dmel_CG32418	Dmel_CG32418:Dmel_CG32418
dme_Dmel_CG7650	Dmel_CG7650:Dmel_CG7650
dme_Dmel_CG31324	Dmel_CG31324:Dmel_CG31324
dme_Dmel_CG9710	Dmel_CG9710:Dmel_CG9710
dme_Dmel_CG7654	Dmel_CG7654:Dmel_CG7654
dme_Dmel_CG32412	Dmel_CG32412:Dmel_CG32412
dme_Dmel_CG33838	Dmel_CG33838:Dmel_CG33838
dme_Dmel_CG33839	Dmel_CG33839:Dmel_CG33839
dme_Dmel_CG3885	Dmel_CG3885:Dmel_CG3885
dme_Dmel_CG3887	Dmel_CG3887:Dmel_CG3887
dme_Dmel_CG8649	Dmel_CG8649:Dmel_CG8649
dme_Dmel_CG9968	Dmel_CG9968:Dmel_CG9968
dme_Dmel_CG3883	Dmel_CG3883:Dmel_CG3883
dme_Dmel_CG6359	Dmel_CG6359:Dmel_CG6359
dme_Dmel_CG1244	Dmel_CG1244:Dmel_CG1244
dme_Dmel_CG17367	Dmel_CG17367:Dmel_CG17367
dme_Dmel_CG9960	Dmel_CG9960:Dmel_CG9960
dme_Dmel_CG4190	Dmel_CG4190:Dmel_CG4190
dme_Dmel_CG4953	Dmel_CG4953:Dmel_CG4953
dme_Dmel_CG10958	Dmel_CG10958:Dmel_CG10958
dme_Dmel_CG6225	Dmel_CG6225:Dmel_CG6225
dme_Dmel_CG11504	Dmel_CG11504:Dmel_CG11504
dme_Dmel_CG32195	Dmel_CG32195:Dmel_CG32195
dme_Dmel_CG15617	Dmel_CG15617:Dmel_CG15617
dme_Dmel_CG7238	Dmel_CG7238:Dmel_CG7238
dme_Dmel_CG7239	Dmel_CG7239:Dmel_CG7239
dme_Dmel_CG4857	Dmel_CG4857:Dmel_CG4857
dme_Dmel_CG8370	Dmel_CG8370:Dmel_CG8370
dme_Dmel_CG7230	Dmel_CG7230:Dmel_CG7230
dme_Dmel_CG7231	Dmel_CG7231:Dmel_CG7231
dme_Dmel_CG13175	Dmel_CG13175:Dmel_CG13175
dme_Dmel_CG8768	Dmel_CG8768:Dmel_CG8768
dme_Dmel_CG13176	Dmel_CG13176:Dmel_CG13176
dme_Dmel_CG5106	Dmel_CG5106:Dmel_CG5106
dme_Dmel_CG2910	Dmel_CG2910:Dmel_CG2910
dme_Dmel_CG9497	Dmel_CG9497:Dmel_CG9497
dme_Dmel_CG8149	Dmel_CG8149:Dmel_CG8149
dme_Dmel_CG11505	Dmel_CG11505:Dmel_CG11505
dme_Dmel_CG31326	Dmel_CG31326:Dmel_CG31326
dme_Dmel_CG4456	Dmel_CG4456:Dmel_CG4456
dme_Dmel_CG4455	Dmel_CG4455:Dmel_CG4455
dme_Dmel_CG4454	Dmel_CG4454:Dmel_CG4454
dme_Dmel_CG9498	Dmel_CG9498:Dmel_CG9498
dme_Dmel_CG4452	Dmel_CG4452:Dmel_CG4452
dme_Dmel_CG33902	Dmel_CG33902:Dmel_CG33902
dme_Dmel_CG33903	Dmel_CG33903:Dmel_CG33903
dme_Dmel_CG33900	Dmel_CG33900:Dmel_CG33900
dme_Dmel_CG33901	Dmel_CG33901:Dmel_CG33901
dme_Dmel_CG33906	Dmel_CG33906:Dmel_CG33906
dme_Dmel_CG33907	Dmel_CG33907:Dmel_CG33907
dme_Dmel_CG33904	Dmel_CG33904:Dmel_CG33904
dme_Dmel_CG33905	Dmel_CG33905:Dmel_CG33905
dme_Dmel_CG31496	Dmel_CG31496:Dmel_CG31496
dme_Dmel_CG33908	Dmel_CG33908:Dmel_CG33908
dme_Dmel_CG33909	Dmel_CG33909:Dmel_CG33909
dme_Dmel_CG2199	Dmel_CG2199:Dmel_CG2199
dme_Dmel_CG33057	Dmel_CG33057:Dmel_CG33057
dme_Dmel_CG2915	Dmel_CG2915:Dmel_CG2915
dme_Dmel_CG12172	Dmel_CG12172:Dmel_CG12172
dme_Dmel_CG8548	Dmel_CG8548:Dmel_CG8548
dme_Dmel_CG12171	Dmel_CG12171:Dmel_CG12171
dme_Dmel_CG2260	Dmel_CG2260:Dmel_CG2260
dme_Dmel_CG9360	Dmel_CG9360:Dmel_CG9360
dme_Dmel_CG12175	Dmel_CG12175:Dmel_CG12175
dme_Dmel_CG3842	Dmel_CG3842:Dmel_CG3842
dme_Dmel_CG8545	Dmel_CG8545:Dmel_CG8545
dme_Dmel_CG9368	Dmel_CG9368:Dmel_CG9368
dme_Dmel_CG9369	Dmel_CG9369:Dmel_CG9369
dme_Dmel_CG1241	Dmel_CG1241:Dmel_CG1241
dme_Dmel_CG9024	Dmel_CG9024:Dmel_CG9024
dme_Dmel_CG12896	Dmel_CG12896:Dmel_CG12896
dme_Dmel_CG5815	Dmel_CG5815:Dmel_CG5815
dme_Dmel_CG32982	Dmel_CG32982:Dmel_CG32982
dme_Dmel_CG1397	Dmel_CG1397:Dmel_CG1397
dme_Dmel_CG3040	Dmel_CG3040:Dmel_CG3040
dme_Dmel_CG5812	Dmel_CG5812:Dmel_CG5812
dme_Dmel_CG31789	Dmel_CG31789:Dmel_CG31789
dme_Dmel_CG1399	Dmel_CG1399:Dmel_CG1399
dme_Dmel_CG7378	Dmel_CG7378:Dmel_CG7378
dme_Dmel_CG9386	Dmel_CG9386:Dmel_CG9386
dme_Dmel_CG12288	Dmel_CG12288:Dmel_CG12288
dme_Dmel_CG11550	Dmel_CG11550:Dmel_CG11550
dme_Dmel_CG1240	Dmel_CG1240:Dmel_CG1240
dme_Dmel_CG11555	Dmel_CG11555:Dmel_CG11555
dme_Dmel_CG1558	Dmel_CG1558:Dmel_CG1558
dme_Dmel_CG31460	Dmel_CG31460:Dmel_CG31460
dme_Dmel_CG4070	Dmel_CG4070:Dmel_CG4070
dme_Dmel_CG1553	Dmel_CG1553:Dmel_CG1553
dme_Dmel_CG1552	Dmel_CG1552:Dmel_CG1552
dme_Dmel_CG15715	Dmel_CG15715:Dmel_CG15715
dme_Dmel_CG30122	Dmel_CG30122:Dmel_CG30122
dme_Dmel_CG7203	Dmel_CG7203:Dmel_CG7203
dme_Dmel_CG14696	Dmel_CG14696:Dmel_CG14696
dme_Dmel_CG30128	Dmel_CG30128:Dmel_CG30128
dme_Dmel_CG32603	Dmel_CG32603:Dmel_CG32603
dme_Dmel_CG9704	Dmel_CG9704:Dmel_CG9704
dme_Dmel_CG41099	Dmel_CG41099:Dmel_CG41099
dme_Dmel_CG8386	Dmel_CG8386:Dmel_CG8386
dme_Dmel_CG1488	Dmel_CG1488:Dmel_CG1488
dme_Dmel_CG1486	Dmel_CG1486:Dmel_CG1486
dme_Dmel_CG8389	Dmel_CG8389:Dmel_CG8389
dme_Dmel_CG1484	Dmel_CG1484:Dmel_CG1484
dme_Dmel_CG1483	Dmel_CG1483:Dmel_CG1483
dme_Dmel_CG31992	Dmel_CG31992:Dmel_CG31992
dme_Dmel_CG9031	Dmel_CG9031:Dmel_CG9031
dme_Dmel_CG9036	Dmel_CG9036:Dmel_CG9036
dme_Dmel_CG7074	Dmel_CG7074:Dmel_CG7074
dme_Dmel_CG2922	Dmel_CG2922:Dmel_CG2922
dme_Dmel_CG7207	Dmel_CG7207:Dmel_CG7207
dme_Dmel_CG10372	Dmel_CG10372:Dmel_CG10372
dme_Dmel_CG9038	Dmel_CG9038:Dmel_CG9038
dme_Dmel_CG31998	Dmel_CG31998:Dmel_CG31998
dme_Dmel_CG5252	Dmel_CG5252:Dmel_CG5252
dme_Dmel_CG2928	Dmel_CG2928:Dmel_CG2928
dme_Dmel_CG6821	Dmel_CG6821:Dmel_CG6821
dme_Dmel_CG10737	Dmel_CG10737:Dmel_CG10737
dme_Dmel_CG31670	Dmel_CG31670:Dmel_CG31670
dme_Dmel_CG10732	Dmel_CG10732:Dmel_CG10732
dme_Dmel_CG18081	Dmel_CG18081:Dmel_CG18081
dme_Dmel_CG2469	Dmel_CG2469:Dmel_CG2469
dme_Dmel_CG30020	Dmel_CG30020:Dmel_CG30020
dme_Dmel_CG30021	Dmel_CG30021:Dmel_CG30021
dme_Dmel_CG18088	Dmel_CG18088:Dmel_CG18088
dme_Dmel_CG30025	Dmel_CG30025:Dmel_CG30025
dme_Dmel_CG12594	Dmel_CG12594:Dmel_CG12594
dme_Dmel_CG14650	Dmel_CG14650:Dmel_CG14650
dme_Dmel_CG11158	Dmel_CG11158:Dmel_CG11158
dme_Dmel_CG12592	Dmel_CG12592:Dmel_CG12592
dme_Dmel_CG4670	Dmel_CG4670:Dmel_CG4670
dme_Dmel_CG5589	Dmel_CG5589:Dmel_CG5589
dme_Dmel_CG4679	Dmel_CG4679:Dmel_CG4679
dme_Dmel_CG4764	Dmel_CG4764:Dmel_CG4764
dme_Dmel_CG1234	Dmel_CG1234:Dmel_CG1234
dme_Dmel_CG2852	Dmel_CG2852:Dmel_CG2852
dme_Dmel_CG9148	Dmel_CG9148:Dmel_CG9148
dme_Dmel_CG33695	Dmel_CG33695:Dmel_CG33695
dme_Dmel_CG12352	Dmel_CG12352:Dmel_CG12352
dme_Dmel_CG9147	Dmel_CG9147:Dmel_CG9147
dme_Dmel_CG18076	Dmel_CG18076:Dmel_CG18076
dme_Dmel_CG9634	Dmel_CG9634:Dmel_CG9634
dme_Dmel_CG9143	Dmel_CG9143:Dmel_CG9143
dme_Dmel_CG11807	Dmel_CG11807:Dmel_CG11807
dme_Dmel_CG16857	Dmel_CG16857:Dmel_CG16857
dme_Dmel_CG11804	Dmel_CG11804:Dmel_CG11804
dme_Dmel_CG6517	Dmel_CG6517:Dmel_CG6517
dme_Dmel_CG42232	Dmel_CG42232:Dmel_CG42232
dme_Dmel_CG4913	Dmel_CG4913:Dmel_CG4913
dme_Dmel_CG15112	Dmel_CG15112:Dmel_CG15112
dme_Dmel_CG12822	Dmel_CG12822:Dmel_CG12822
dme_Dmel_CG11808	Dmel_CG11808:Dmel_CG11808
dme_Dmel_CG5490	Dmel_CG5490:Dmel_CG5490
dme_Dmel_CG5491	Dmel_CG5491:Dmel_CG5491
dme_Dmel_CG18173	Dmel_CG18173:Dmel_CG18173
dme_Dmel_CG5495	Dmel_CG5495:Dmel_CG5495
dme_Dmel_CG5497	Dmel_CG5497:Dmel_CG5497
dme_Dmel_CG18542	Dmel_CG18542:Dmel_CG18542
dme_Dmel_CG15504	Dmel_CG15504:Dmel_CG15504
dme_Dmel_CG11739	Dmel_CG11739:Dmel_CG11739
dme_Dmel_CG5653	Dmel_CG5653:Dmel_CG5653
dme_Dmel_CG4709	Dmel_CG4709:Dmel_CG4709
dme_Dmel_CG10601	Dmel_CG10601:Dmel_CG10601
dme_Dmel_CG5654	Dmel_CG5654:Dmel_CG5654
dme_Dmel_CG5655	Dmel_CG5655:Dmel_CG5655
dme_Dmel_CG4702	Dmel_CG4702:Dmel_CG4702
dme_Dmel_CG5658	Dmel_CG5658:Dmel_CG5658
dme_Dmel_CG17800	Dmel_CG17800:Dmel_CG17800
dme_Dmel_CG4707	Dmel_CG4707:Dmel_CG4707
dme_Dmel_CG30339	Dmel_CG30339:Dmel_CG30339
dme_Dmel_CG4563	Dmel_CG4563:Dmel_CG4563
dme_Dmel_CG1120	Dmel_CG1120:Dmel_CG1120
dme_Dmel_CG15254	Dmel_CG15254:Dmel_CG15254
dme_Dmel_CG15255	Dmel_CG15255:Dmel_CG15255
dme_Dmel_CG3050	Dmel_CG3050:Dmel_CG3050
dme_Dmel_CG14422	Dmel_CG14422:Dmel_CG14422
dme_Dmel_CG16940	Dmel_CG16940:Dmel_CG16940
dme_Dmel_CG10192	Dmel_CG10192:Dmel_CG10192
dme_Dmel_CG4567	Dmel_CG4567:Dmel_CG4567
dme_Dmel_CG10191	Dmel_CG10191:Dmel_CG10191
dme_Dmel_CG4930	Dmel_CG4930:Dmel_CG4930
dme_Dmel_CG11266	Dmel_CG11266:Dmel_CG11266
dme_Dmel_CG2708	Dmel_CG2708:Dmel_CG2708
dme_Dmel_CG3857	Dmel_CG3857:Dmel_CG3857
dme_Dmel_CG2706	Dmel_CG2706:Dmel_CG2706
dme_Dmel_CG9159	Dmel_CG9159:Dmel_CG9159
dme_Dmel_CG13586	Dmel_CG13586:Dmel_CG13586
dme_Dmel_CG11882	Dmel_CG11882:Dmel_CG11882
dme_Dmel_CG14036	Dmel_CG14036:Dmel_CG14036
dme_Dmel_CG10042	Dmel_CG10042:Dmel_CG10042
dme_Dmel_CG10512	Dmel_CG10512:Dmel_CG10512
dme_Dmel_CG10513	Dmel_CG10513:Dmel_CG10513
dme_Dmel_CG14137	Dmel_CG14137:Dmel_CG14137
dme_Dmel_CG11024	Dmel_CG11024:Dmel_CG11024
dme_Dmel_CG9628	Dmel_CG9628:Dmel_CG9628
dme_Dmel_CG10289	Dmel_CG10289:Dmel_CG10289
dme_Dmel_CG10286	Dmel_CG10286:Dmel_CG10286
dme_Dmel_CG10287	Dmel_CG10287:Dmel_CG10287
dme_Dmel_CG31694	Dmel_CG31694:Dmel_CG31694
dme_Dmel_CG10990	Dmel_CG10990:Dmel_CG10990
dme_Dmel_CG3158	Dmel_CG3158:Dmel_CG3158
dme_Dmel_CG12369	Dmel_CG12369:Dmel_CG12369
dme_Dmel_CG15747	Dmel_CG15747:Dmel_CG15747
dme_Dmel_CG5978	Dmel_CG5978:Dmel_CG5978
dme_Dmel_CG12499	Dmel_CG12499:Dmel_CG12499
dme_Dmel_CG12207	Dmel_CG12207:Dmel_CG12207
dme_Dmel_CG12299	Dmel_CG12299:Dmel_CG12299
dme_Dmel_CG12367	Dmel_CG12367:Dmel_CG12367
dme_Dmel_CG17257	Dmel_CG17257:Dmel_CG17257
dme_Dmel_CG13962	Dmel_CG13962:Dmel_CG13962
dme_Dmel_CG31216	Dmel_CG31216:Dmel_CG31216
dme_Dmel_CG17252	Dmel_CG17252:Dmel_CG17252
dme_Dmel_CG9528	Dmel_CG9528:Dmel_CG9528
dme_Dmel_CG14290	Dmel_CG14290:Dmel_CG14290
dme_Dmel_CG14292	Dmel_CG14292:Dmel_CG14292
dme_Dmel_CG6356	Dmel_CG6356:Dmel_CG6356
dme_Dmel_CG6357	Dmel_CG6357:Dmel_CG6357
dme_Dmel_CG2145	Dmel_CG2145:Dmel_CG2145
dme_Dmel_CG3911	Dmel_CG3911:Dmel_CG3911
dme_Dmel_CG9423	Dmel_CG9423:Dmel_CG9423
dme_Dmel_CG1124	Dmel_CG1124:Dmel_CG1124
dme_Dmel_CG14722	Dmel_CG14722:Dmel_CG14722
dme_Dmel_CG7802	Dmel_CG7802:Dmel_CG7802
dme_Dmel_CG10463	Dmel_CG10463:Dmel_CG10463
dme_Dmel_CG10460	Dmel_CG10460:Dmel_CG10460
dme_Dmel_CG17838	Dmel_CG17838:Dmel_CG17838
dme_Dmel_CG10466	Dmel_CG10466:Dmel_CG10466
dme_Dmel_CG15107	Dmel_CG15107:Dmel_CG15107
dme_Dmel_CG31269	Dmel_CG31269:Dmel_CG31269
dme_Dmel_CG31301	Dmel_CG31301:Dmel_CG31301
dme_Dmel_CG32086	Dmel_CG32086:Dmel_CG32086
dme_Dmel_CG31265	Dmel_CG31265:Dmel_CG31265
dme_Dmel_CG31267	Dmel_CG31267:Dmel_CG31267
dme_Dmel_CG6912	Dmel_CG6912:Dmel_CG6912
dme_Dmel_CG9521	Dmel_CG9521:Dmel_CG9521
dme_Dmel_CG9635	Dmel_CG9635:Dmel_CG9635
dme_Dmel_CG8420	Dmel_CG8420:Dmel_CG8420
