K11093	U1-70k:AT3G50670
K07976	RabG3b:AT1G22740
K10581	UBC25:AT3G15355
K12824	PRP40C:AT3G19840
K13337	PEX19-1:AT3G03490
K01237	Pen2:AT2G44490
K04460	Pp5.2:AT2G42810
K02897	AT4G23620:AT4G23620
K00966	AT1G74910:AT1G74910
K04122	Ga3:AT5G25900
K08679	Gae3:AT4G00110
K00901	AtdGk2:AT5G63770
K01897	AAE16:AT3G23790
K09422	AtmYb1:AT3G09230
K03136	AT1G03280:AT1G03280
K01728	AT3G09540:AT3G09540
K08490	Syp32:AT3G24350
K03113	AT4G27130:AT4G27130
K15227	AT1G15710:AT1G15710
K10689	Pex4:AT5G25760
K11835	Ubp11:AT1G32850
K14501	BSU1:AT1G03445
K10527	Mfp2:AT3G06860
K09338	Hat1:AT4G17460
K04371	AtmPk11:AT1G01560
K01237	BglU29:AT2G44470
K13126	PAB3:AT1G22760
K13789	AT3G29430:AT3G29430
K12733	AT2G36130:AT2G36130
K09503	ATJ3:AT3G44110
K08488	Vam3:AT5G46860
K08336	Atg12a:AT1G54210
K03242	AT2G18720:AT2G18720
K07976	Ara-5:AT1G02130
K10405	Atk2:AT4G27180
K00511	Sqe6:AT5G24160
K08269	AT3G53930:AT3G53930
K01807	AT3G04790:AT3G04790
K09872	Pip1c:AT1G01620
K05309	AT5G42150:AT5G42150
K05278	Fls3:AT5G63590
K04498	Hac2:AT1G67220
K02145	Vha-a:AT1G78900
K00121	AT4G22110:AT4G22110
K11128	AT3G03920:AT3G03920
K02995	AT5G59240:AT5G59240
K01115	PLDEPSILON:AT1G55180
K05288	AT5G17250:AT5G17250
K00930	NAGK:AT3G57560
K01087	AT2G22190:AT2G22190
K08770	Ubq4:AT5G20620
K02957	rps15ae:AT4G29430
K03456	Pp2Aa2:AT3G25800
K00981	AtcDs1:AT1G62430
K03115	Ckb2:AT4G17640
K04120	Ga1:AT4G02780
K15746	BETA-OHASE_2:AT5G52570
K01937	AT4G02120:AT4G02120
K09338	Rev:AT5G60690
K03505	PolD4:AT1G09815
K03841	AT5G64380:AT5G64380
K07976	AtrAb7a:AT2G21880
K10844	Uvh6:AT1G03190
K09285	Plt2:AT1G51190
K00915	IPK2BETA:AT5G61760
K02109	AT4G32260:AT4G32260
K09422	Myb73:AT4G37260
K14003	AT5G50650:AT5G50650
K13993	AT4G21870:AT4G21870
K13126	PAB5:AT1G71770
K00799	GSTU26:AT1G17190
K04382	Pp2A-4:AT2G42500
K00826	AT1G50110:AT1G50110
K12456	BNS:AT1G73177
K01489	Cda1:AT2G19570
K14085	ALDH7B4:AT1G54100
K00286	P5cR:AT5G14800
K06100	ESP4:AT5G01400
K15747	CYP97A3:AT1G31800
K01733	AT1G72810:AT1G72810
K02894	AT2G33370:AT2G33370
K01516	AtaPy1:AT3G04080
K15893	HPR:AT1G68010
K01880	AT1G29870:AT1G29870
K00074	AT3G15290:AT3G15290
K01183	CHIA:AT5G24090
K00759	Apt3:AT4G22570
K00517	Cyp71b35:AT3G26310
K12880	TEX1:AT5G56130
K10405	Atk1:AT4G21270
K02922	AT3G16080:AT3G16080
K13429	CerK1:AT3G21630
K06675	AtsMc3:AT5G48600
K14569	AT1G06720:AT1G06720
K00430	AT5G64120:AT5G64120
K02879	AT5G64650:AT5G64650
K02731	Pad1:AT3G51260
K00225	AtgLdh:AT3G47930
K09840	NceD6:AT3G24220
K02542	MCM6:AT5G44635
K02365	AesP:AT4G22970
K14566	AT2G46230:AT2G46230
K12614	AT3G61240:AT3G61240
K14172	AT1G76570:AT1G76570
K01597	AT3G54250:AT3G54250
K01068	AT1G01710:AT1G01710
K01728	PMR6:AT3G54920
K02900	Rpl27ab:AT1G23290
K14491	ARR11:AT1G67710
K14233	TrnS:ArthCt117
K14225	TrnG:ArthCt116
K14219	TrnR:ArthCt115
K14218	TrnA:ArthCt114
K14230	TrnI:ArthCt113
K01188	BGLU14:AT2G25630
K14230	TrnI:ArthCt111
K14220	TrnN:ArthCt110
K09422	Myb58:AT1G16490
K12120	PhyA:AT1G09570
K03131	Taf6b4:AT1G54360
K14228	TrnL:ArthCt118
K00861	FMN/FHY:AT4G21470
K00033	AT1G64190:AT1G64190
K02923	AT3G59540:AT3G59540
K00850	Pfk3:AT4G26270
K01892	AT5G03406:AT5G03406
K12876	Y14:AT1G51510
K14652	AT5G59750:AT5G59750
K03094	Ask8:AT3G21830
K15542	FY:AT5G13480
K10573	Ubc3:AT5G62540
K00999	Pis2:AT4G38570
K01802	Roc2:AT3G56070
K02641	RFNR2:AT1G30510
K06027	Nsf:AT4G04910
K00111	Sdp6:AT3G10370
K15920	XYL4:AT5G64570
K10610	Ddb1a:AT4G05420
K01188	BGLU41:AT5G54570
K09286	Erf3:AT1G50640
K00134	GapCp-2:AT1G16300
K12178	Cop8:AT5G42970
K02735	Pbc1:AT1G21720
K03801	AT4G31050:AT4G31050
K14294	Pym:AT1G11400
K00962	AT5G14580:AT5G14580
K00873	AT2G36580:AT2G36580
K00850	Pfk2:AT5G47810
K02709	PsbH:ArthCp052
K02635	PetB:ArthCp053
K02718	PsbT:ArthCp050
K10661	AT4G34100:AT4G34100
K02948	Rps11:ArthCp056
K02919	Rpl36:ArthCp057
K02637	PetD:ArthCp054
K03040	RpoA:ArthCp055
K02994	Rps8:ArthCp058
K02874	Rpl14:ArthCp059
K05857	PLC1:AT5G58670
K13800	Pyr6:AT5G26667
K12829	AT4G21660:AT4G21660
K00558	Mee57:AT4G13610
K00517	Cyp81d5:AT4G37320
K08486	SYP132:AT5G08080
K05293	AT1G63110:AT1G63110
K05658	ABCB1:AT2G36910
K03575	AT4G12740:AT4G12740
K06133	AT2G02770:AT2G02770
K02492	HemA1:AT1G58290
K02940	AT1G33120:AT1G33120
K05658	PGP17:AT3G28380
K12832	AT4G14342:AT4G14342
K00924	Cki1:AT4G14340
K08506	Syp73:AT3G61450
K01580	Gad3:AT2G02000
K04371	AtmPk6:AT2G43790
K00472	AT-P4H-2:AT3G06300
K03868	Rbx1:AT5G20570
K00797	Acl5:AT5G19530
K01512	AT5G03370:AT5G03370
K09422	Myb68:AT5G65790
K02987	AT5G07090:AT5G07090
K00279	Ckx7:AT5G21482
K00815	AT4G28410:AT4G28410
K12176	Fus12:AT2G26990
K03644	Lip1:AT2G20860
K08287	Afc2:AT4G24740
K00430	AT1G24110:AT1G24110
K11097	AT2G18740:AT2G18740
K01051	AT5G04970:AT5G04970
K02335	POLGAMMA1:AT3G20540
K00627	EMB3003:AT1G34430
K13289	ScpL31:AT1G11080
K08232	AtmDar1:AT3G52880
K12160	SumO5:AT2G32765
K01938	THFS:AT1G50480
K10754	AtrFc1:AT5G22010
K03164	TopIi:AT3G23890
K03094	Ask11:AT4G34210
K11820	UGT74B1:AT1G24100
K00451	HGO:AT5G54080
K11088	AT1G20580:AT1G20580
K10733	Psf2:AT3G12530
K01689	ENO1:AT1G74030
K01081	AT2G38680:AT2G38680
K01115	PldGamma3:AT4G11840
K06689	Ubc31:AT1G36340
K00430	AT3G17070:AT3G17070
K00972	GlcNA.1UT2:AT2G35020
K00697	AttPs1:AT1G78580
K00873	AT3G52990:AT3G52990
K03544	ClpX:AT5G53350
K11812	Cyp79b2:AT4G39950
K01674	AtaCa2:AT2G28210
K13082	Dfr:AT5G42800
K11647	AtcHr12:AT3G06010
K00799	GSTU22:AT1G78340
K13525	Cdc48:AT3G09840
K15397	KCS4:AT1G19440
K02693	PsaE-2:AT2G20260
K10737	Mcm8:AT3G09660
K00522	AtfEr3:AT3G56090
K01047	PLA2-ALPHA:AT2G06925
K14003	PHF1:AT3G52190
K09422	Tdf1:AT3G28470
K12862	Prl1:AT4G15900
K02997	AT5G39850:AT5G39850
K03147	ThiC:AT2G29630
K11821	Sot16:AT1G74100
K02335	POLGAMMA2:AT1G50840
K07897	RABG3c:AT3G16100
K01824	Hyd1:AT1G20050
K01586	AT5G11880:AT5G11880
K02984	AT4G34670:AT4G34670
K00311	EtfQo:AT2G43400
K00279	Ckx5:AT1G75450
K03921	AT5G16230:AT5G16230
K00847	AT4G10260:AT4G10260
K09832	CYP710A3:AT2G28850
K00850	Pfk7:AT5G56630
K11578	AtzW10:AT2G32900
K01853	AtpEn1:AT4G15340
K03781	Cat2:AT4G35090
K07513	Pkt4:AT1G04710
K01507	AtpPa2:AT2G18230
K00847	AT3G59480:AT3G59480
K12830	AT3G55200:AT3G55200
K01079	Psp:AT1G18640
K01602	AT5G38430:AT5G38430
K01663	At-Hf:AT4G26900
K02896	AT2G44860:AT2G44860
K13680	AtcSla02:AT5G22740
K10355	Act4:AT5G59370
K14332	PsaO:AT1G08380
ath_AT1G22400	UGT85A1:AT1G22400
K12592	AT5G25080:AT5G25080
K00411	AT5G13430:AT5G13430
K01613	Psd3:AT4G25970
K08472	Mlo13:AT4G24250
K01206	FUC1:AT2G28100
K10738	Mcm9:AT2G14050
K00873	AT4G26390:AT4G26390
K01840	Pmm:AT2G45790
K02943	AT3G28500:AT3G28500
K01673	Ca2:AT5G14740
K08176	Pht5:AT2G32830
K00799	GSTU5:AT2G29450
K00430	AT4G30170:AT4G30170
K10257	Fad3:AT2G29980
K00441	AT1G04620:AT1G04620
K14554	AT4G04940:AT4G04940
K14411	AT2G33410:AT2G33410
K00857	AT3G07800:AT3G07800
K12868	AT2G16860:AT2G16860
K02087	Cdc2:AT3G48750
K04079	HSP90.1:AT5G52640
K06689	Ubc29:AT2G16740
K12622	AT1G76860:AT1G76860
K01950	AT1G55090:AT1G55090
K02865	AT1G08360:AT1G08360
K02958	AT5G09490:AT5G09490
K05387	Glr3.3:AT1G42540
K12119	Cry2:AT1G04400
K09841	Aba2:AT1G52340
K02942	AT1G01100:AT1G01100
K10525	Aoc3:AT3G25780
K05391	CnbT1:AT3G17700
K06127	AT5G57300:AT5G57300
K01876	AT4G26870:AT4G26870
K01568	Pdc2:AT5G54960
K13448	AT3G03000:AT3G03000
K11262	Acc1:AT1G36160
K03283	cpHsc70-1:AT4G24280
K01183	AT2G43590:AT2G43590
K03239	AT1G53900:AT1G53900
K03251	AT4G20980:AT4G20980
K00430	AT5G66390:AT5G66390
K09286	Rap2.6:AT1G43160
K00430	AT1G14540:AT1G14540
K00928	Ak3:AT3G02020
K00889	PIP5K1:AT1G21980
K11713	PggT-i:AT2G39550
K02870	AT2G37190:AT2G37190
K00432	AtgPx6:AT4G11600
K04708	AT3G06060:AT3G06060
K14570	AT5G25800:AT5G25800
K10901	RecQ4a:AT1G10930
K01115	PLDALPHA3:AT5G25370
K11430	Mea:AT1G02580
K01658	AT1G24807:AT1G24807
K07512	AT3G45770:AT3G45770
K13448	Apc1:AT5G17480
K11426	Sdg37:AT2G17900
K09286	Rap2.4:AT1G78080
K02133	AT5G08670:AT5G08670
K00924	Bin2:AT4G18710
K01115	PLDALPHA1:AT3G15730
K00705	Dpe1:AT5G64860
K00789	Sam-2:AT4G01850
K06689	Ubc11:AT3G08690
K04079	Hsp81-3:AT5G56010
K00413	AT3G27240:AT3G27240
K00166	AT5G09300:AT5G09300
K02326	NF-YB11:AT2G27470
K00799	GSTF9:AT2G30860
K14505	CYCD3;2:AT5G67260
K14396	PABN1:AT5G51120
K09874	Nip6:AT1G80760
K14487	AT1G48670:AT1G48670
K10251	KCR1:AT1G67730
K10901	RECQI1:AT3G05740
K00847	AT1G66430:AT1G66430
K01001	Gpt:AT2G41490
K03941	AT1G16700:AT1G16700
K14012	AT3G21660:AT3G21660
K01456	AtpNg1:AT5G49570
K02953	RPS13A:AT4G00100
K02737	AT3G26340:AT3G26340
K03115	Ckb4:AT2G44680
K08737	MSH7:AT3G24495
K02981	Xw6:AT1G58380
K02941	AT3G09200:AT3G09200
K01074	AT4G17470:AT4G17470
K00924	CipK23:AT1G30270
K09250	CsdP1:AT4G36020
K03426	NUDX19:AT5G20070
K01213	AT3G07850:AT3G07850
K13946	LAX3:AT1G77690
K10143	Spa3:AT3G15354
K02893	RPL23AA:AT2G39460
K09422	Duo1:AT3G60460
K13681	Fut5:AT2G15370
K00472	AT5G18900:AT5G18900
K02260	Cox17:AT3G15352
K13412	Cpk13:AT3G51850
K04371	AtmPk5:AT4G11330
K10841	Chr8:AT2G18760
K11352	AT3G03100:AT3G03100
K00517	Cyp96a4:AT5G52320
K01087	ATTPPA:AT5G51460
K00036	G6pD5:AT3G27300
K11279	Nap1:AT4G26110
K12861	Mos4:AT3G18165
K13519	AT1G63050:AT1G63050
K14561	IMP4:AT1G63780
K00889	PIP5K2:AT1G77740
K01188	PYK10:AT3G09260
K09523	P58IPK:AT5G03160
K01620	Tha2:AT3G04520
K15397	KCS8:AT2G15090
K11863	AT3G54130:AT3G54130
K14496	PYR1:AT4G17870
K01868	AT5G26830:AT5G26830
K08235	ExgT-a3:AT2G01850
K09284	Toe2:AT5G60120
K02913	AT3G06320:AT3G06320
K02692	PsaD-1:AT4G02770
K15422	SAL2:AT5G64000
K00844	AthXk4:AT3G20040
K01897	LACS1:AT2G47240
K01695	Tsa1:AT3G54640
K00430	AT1G49570:AT1G49570
K00626	AT5G47720:AT5G47720
K00878	AT3G24030:AT3G24030
K13789	AT3G14530:AT3G14530
K14563	AT5G52490:AT5G52490
K12590	AT3G46210:AT3G46210
K07977	AtaRfb1b:AT5G17060
K16221	AT5G08330:AT5G08330
K11816	Yuc6:AT5G25620
K12493	AGD8:AT4G17890
K03130	Taf5:AT5G25150
K00029	NADP-ME4:AT1G79750
K02901	AT2G32220:AT2G32220
K13448	AT3G10190:AT3G10190
K07976	AtrAbg3a:AT4G09720
K02995	AT5G20290:AT5G20290
K00430	AT4G16270:AT4G16270
K01602	RbcS1a:AT1G67090
K13648	GauT15:AT3G58790
K08775	BrcA2b:AT5G01630
K00799	GSTU13:AT1G27130
K00799	GSTU25:AT1G17180
K00799	GSTU21:AT1G78360
K10752	Nfc5:AT4G29730
K02876	Rpl15:AT3G25920
K14424	SMO2-2:AT2G29390
K08991	AT5G39770:AT5G39770
K12188	Vps22:AT4G27040
K01265	Map1c:AT1G13270
K02519	Fug1:AT1G17220
K03231	AT1G35550:AT1G35550
K00517	Cyp71b36:AT3G26320
K11416	Srt1:AT5G55760
K01265	Map1a:AT2G45240
K12852	Mee5:AT1G06220
K03094	Ask19:AT2G03160
K14513	EIN2:AT5G03280
K01555	AT1G12050:AT1G12050
K03842	AT1G16570:AT1G16570
K14218	TrnA:ArthCt108
K01984	Rrn4.5s:ArthCt109
K01177	Ct-Bmy:AT4G17090
K06269	TOPP8:AT5G27840
K13789	GgpS2:AT2G23800
K13493	Ugt76c2:AT5G05860
K14497	HAB2:AT1G17550
K07179	AT3G51270:AT3G51270
K14228	TrnL:ArthCt101
K14231	TrnF:ArthCt102
K14218	TrnV:ArthCt103
K14230	TrnM:ArthCt104
K14235	TrnW:ArthCt105
K06118	Sqd1:AT4G33030
K14227	TrnI:ArthCt107
K00130	AldH10a8:AT1G74920
K02989	RPS5B:AT2G37270
K07466	AT1G23750:AT1G23750
K13545	Acd2:AT4G37000
K10884	Ku70:AT1G16970
K11252	Htb9:AT3G45980
K11000	Gsl8:AT2G36850
K01580	Gad2:AT1G65960
K00799	GstF7:AT1G02920
K00430	AT1G71695:AT1G71695
K07975	Rop9:AT4G28950
K00943	ZEU1:AT5G59440
K13289	ScpL49:AT3G10410
K00432	GPX8:AT1G63460
K00844	Hxk1:AT4G29130
K00281	GLDP1:AT4G33010
K08343	Atg3:AT5G61500
K12160	SumO2:AT5G55160
K02324	Til2:AT2G27120
K07975	AraC10:AT5G62880
K08901	PsbQ-2:AT4G05180
K04382	Pp2A-2:AT1G10430
K04567	Ova5:AT3G13490
K12627	AT1G65700:AT1G65700
K08956	FtsH10:AT1G07510
K12489	AGD1:AT5G61980
K08901	PsbQa:AT4G21280
K09835	CrtIso:AT1G06820
K07760	CdkE:AT5G63610
K10563	MMH-1:AT1G52500
K09338	Hat22:AT4G37790
K00939	ADK:AT2G37250
K10395	Fra1:AT5G47820
K01937	emb2742:AT3G12670
K14491	RR19:AT1G49190
K02999	NrpA1:AT3G57660
K12833	AT2G14870:AT2G14870
K08489	Syp42:AT4G02195
K01627	AtkdsA1:AT1G79500
K00606	KPHMT1:AT2G46110
K01188	BGLU16:AT3G60130
K14310	AT5G51200:AT5G51200
K02892	Rpl23:ArthCp065
K02886	Rpl2:ArthCp064
K02965	Rps19:ArthCp063
K02890	Rpl22:ArthCp062
K02982	Rps3:ArthCp061
K02878	Rpl16:ArthCp060
K00517	Cyp81h1:AT4G37310
K03798	FtsH1:AT1G50250
K01537	Aca2:AT4G37640
K05573	NdhB:ArthCp068
K10573	AtuBc2:AT2G02760
K07975	Rop10:AT3G48040
K14012	PUX3:AT4G22150
K14550	AT3G06530:AT3G06530
K01704	AT2G43090:AT2G43090
K03681	AT2G25355:AT2G25355
K00849	GalAK:AT3G10700
K06627	CycA2:AT1G80370
K12620	AT3G14080:AT3G14080
K08081	AT5G06060:AT5G06060
K07897	RAB7B:AT3G18820
K00222	Fk:AT3G52940
K09872	Pip1b:AT2G45960
K00121	Hot5:AT5G43940
K14487	GH3.4:AT1G59500
K13811	Aps3:AT4G14680
K12834	AT1G07170:AT1G07170
K01580	Gad4:AT2G02010
K03020	RPC14:AT2G29540
K03952	AT3G06310:AT3G06310
K03141	AT3G61420:AT3G61420
K00128	AldH2b7:AT1G23800
K00382	MtlPd2:AT3G17240
K00640	AtsErat3:AT4G35640
K02910	AT2G19740:AT2G19740
K11251	Hta12:AT5G02560
K02726	AT1G79210:AT1G79210
K12741	AT3G13224:AT3G13224
K00327	Atr2:AT4G30210
K13456	Rin4:AT3G25070
K00058	Eda9:AT4G34200
K02885	AT4G02230:AT4G02230
K00924	AtmPk17:AT2G01450
K01930	DFC:AT3G10160
K06688	Ubc20:AT1G50490
K09591	Det2:AT2G38050
K11094	U2b'':AT2G30260
K08150	Int3:AT2G35740
K11517	AT3G14130:AT3G14130
K11251	Hta4:AT4G13570
K09613	Csn5b:AT1G71230
K05658	ABCB19:AT3G28860
K00600	Shm7:AT1G36370
K00860	Akn2:AT4G39940
K02202	CdkD1:AT1G73690
K00051	AT5G58330:AT5G58330
K02695	PsaH2:AT1G52230
K08850	AtaUr3:AT2G45490
K12467	Tps10:AT2G24210
K09422	Myb76:AT5G07700
K02138	AtpQ:AT3G52300
K13418	SerK1:AT1G71830
K04371	AtmPk1:AT1G10210
K05391	AtcNgc15:AT2G28260
K10839	RAD23D:AT5G38470
K08515	VAMP714:AT5G22360
K09264	Agl6:AT2G45650
K00924	Cpk17:AT5G12180
K13544	Mes16:AT4G16690
K00729	AT2G39630:AT2G39630
K01188	BGLU19:AT3G21370
K03008	NrpB11:AT3G52090
K02947	AT4G25740:AT4G25740
K02548	Abc4:AT1G60600
K01904	AT4G05160:AT4G05160
K07943	Ttn5:AT2G18390
K08906	AT5G45040:AT5G45040
K05658	PGP21:AT3G62150
K00873	PKP-BETA1:AT5G52920
K01115	PLDDELTA:AT4G35790
K02328	PolD2:AT2G42120
K05391	AtcNgc17:AT4G30360
K13447	RBOH_F:AT1G64060
K00611	Otc:AT1G75330
K00472	AT4G35820:AT4G35820
K10688	Ubc16:AT1G75440
K01244	AtmTn2:AT4G34840
K00621	AtgNa1:AT5G15770
K00517	Cyp71a14:AT5G24960
K08081	AT2G30670:AT2G30670
K03097	AT2G23070:AT2G23070
K09832	CYP710A4:AT2G28860
K14487	DFL1:AT5G54510
K00517	Cyp81f2:AT5G57220
K01880	AT3G44740:AT3G44740
K13510	AT1G80950:AT1G80950
K02958	RPS15:AT1G04270
K10577	Sce1:AT3G57870
K10571	Det1:AT4G10180
K03061	Rpt1a:AT1G53750
K12606	AT5G12980:AT5G12980
K05391	CNGC8:AT1G19780
K14484	IAA19:AT3G15540
K10843	XPB1:AT5G41370
K00430	AT4G31760:AT4G31760
K03257	EIF4A1:AT3G13920
K01115	PldGamma1:AT4G11850
K09873	Tip2:AT3G26520
K02866	RPL10B:AT1G26910
K12117	Lkp2:AT2G18915
K12865	AT2G41020:AT2G41020
K02966	AT5G61170:AT5G61170
K11251	H2aXa:AT1G08880
K09422	MybR1:AT5G67300
K09839	Npq1:AT1G08550
K11816	Yuc4:AT5G11320
K00166	AT1G21400:AT1G21400
K00799	GSTU6:AT2G29440
K11420	SUVH1:AT5G04940
K04124	Ga3Ox1:AT1G15550
K09754	Cyp98a9:AT1G74550
K01757	Ss3:AT1G74000
K08248	AT1G73050:AT1G73050
K14546	AT1G15420:AT1G15420
K09422	Myb107:AT3G02940
K12585	EMB2763:AT2G17510
K00759	Apt1:AT1G27450
K10869	Rad51b:AT2G28560
K01259	Pip:AT2G14260
K02937	AT2G01250:AT2G01250
K09422	Myb64:AT5G11050
K03715	Mgd1:AT4G31780
K02940	AT4G10450:AT4G10450
K09422	Myb49:AT5G54230
K00434	Apx6:AT4G32320
K03564	AtpRx q:AT3G26060
K00963	Ugp:AT3G03250
K00001	AT5G24760:AT5G24760
K00873	AT3G55650:AT3G55650
K14565	AT5G27140:AT5G27140
K08913	LhcB2.1:AT2G05100
K02872	AT5G48760:AT5G48760
K10878	AtsPo11-1:AT3G13170
K02934	AT1G18540:AT1G18540
K03118	Apg2:AT2G01110
K13457	Rpm1:AT3G07040
K02926	AT2G20060:AT2G20060
K01674	Aca7:AT1G08080
K02943	AT2G27720:AT2G27720
K06067	Hda6:AT5G63110
K05953	Nas4:AT1G56430
K01609	AT2G04400:AT2G04400
K09481	SEC61_BETA:AT2G45070
K10579	AT2G18600:AT2G18600
K14397	AT4G25550:AT4G25550
K02738	Pba1:AT4G31300
K05387	AtgLr2.6:AT5G11180
K09422	Myb65:AT3G11440
K00517	Cyp78a7:AT5G09970
K09872	Pip2e:AT2G39010
K11650	Chc1:AT5G14170
K08495	Gos11:AT1G15880
K12946	AT4G40042:AT4G40042
K04567	ATKRS-1:AT3G11710
K00430	AT5G51890:AT5G51890
K09286	Tny:AT5G25810
K12890	Sr1:AT1G02840
K05349	AT5G20950:AT5G20950
K10760	AtiPt6:AT1G25410
K01238	BglU31:AT5G24540
K10088	AT5G35080:AT5G35080
K14411	AT5G47620:AT5G47620
K03033	AT1G75990:AT1G75990
K11341	Gas41:AT5G45600
K14015	Npl41:AT3G63000
K03142	Gtf2h2:AT1G05055
K08293	AtmPk7:AT2G18170
K02871	emb1473:AT1G78630
K06627	CycA3:AT1G47210
K05389	Kco5:AT4G01840
K00262	AT1G51720:AT1G51720
K12813	AT4G16680:AT4G16680
K07976	Lip1:AT5G64813
K12818	AT3G26560:AT3G26560
K02971	AT5G27700:AT5G27700
K02717	Ppl1:AT3G55330
K14677	AT1G44820:AT1G44820
K14009	AT5G42570:AT5G42570
K08235	Xtr3:AT5G57550
K00430	AT2G41480:AT2G41480
K00815	CORI3:AT4G23600
K08488	AtsYp24:AT1G32270
K01933	PUR5:AT3G55010
K01850	AtcM2:AT5G10870
K01087	AT1G22210:AT1G22210
K01785	AT3G17940:AT3G17940
K14485	TIR1:AT3G62980
K04554	Ubc33:AT5G50430
K01626	Dhs1:AT4G39980
K00279	Ckx3:AT5G56970
K12867	AT5G28740:AT5G28740
K00382	MtlPd1:AT1G48030
K01148	AT3G25440:AT3G25440
K00430	AT2G22420:AT2G22420
K07975	AraC9:AT2G44690
K12946	AT2G22425:AT2G22425
K00737	AT1G12990:AT1G12990
K00799	GSTU16:AT1G59700
K00232	Acx4:AT3G51840
K03844	LEW3:AT2G40190
K11584	AT1G13460:AT1G13460
K02865	PGY1:AT2G27530
K03013	RPB5C:AT5G57980
K01188	BglU15:AT2G44450
K13464	Jaz3:AT3G17860
K07976	AtrAb8a:AT3G46060
K12663	AtdCi1:AT5G43280
K10878	Rhl2:AT5G02820
K10781	FatB:AT1G08510
K07975	AraC1:AT2G17800
K02996	AT3G49080:AT3G49080
K00454	Lox5:AT3G22400
K01231	GmiI:AT5G14950
K12272	AT2G18770:AT2G18770
K09422	Myb85:AT4G22680
K01658	AT1G24909:AT1G24909
K07975	AraC5:AT1G75840
K02148	Det3:AT1G12840
K13506	GPAT9:AT5G60620
K05933	Aco2:AT1G62380
K01778	AT3G53580:AT3G53580
K02952	AT1G77750:AT1G77750
K00511	Sqp2:AT5G24140
K01762	Acs11:AT4G08040
K11824	AT5G22780:AT5G22780
K09667	Sec:AT3G04240
K02915	Rpl34:AT1G69620
K03124	AtpBrp:AT4G36650
K00895	AT1G12000:AT1G12000
K00794	Cos1:AT2G44050
K08249	ScpL27:AT3G07990
K14297	AT1G59660:AT1G59660
K09580	PDIL1-3:AT3G54960
K09287	Rav2:AT1G68840
K13993	HSP21:AT4G27670
K03018	NrpC1:AT5G60040
K02134	AT5G47030:AT5G47030
K11098	RuxF:AT4G30220
K01507	VHP2;2:AT1G16780
K00895	AT1G76550:AT1G76550
K01817	Pai3:AT1G29410
K09286	Abi4:AT2G40220
K03038	Rpn8a:AT5G05780
K15634	AT5G22620:AT5G22620
K00760	HGPT:AT1G71750
K02930	AT3G09630:AT3G09630
K09648	AT3G08980:AT3G08980
K08339	Apg5:AT5G17290
K12813	Esp3:AT1G32490
K00517	Cyp71b13:AT5G25140
K03952	AT5G18800:AT5G18800
K01889	AT3G58140:AT3G58140
K01255	AT4G30910:AT4G30910
K11827	AT1G47830:AT1G47830
K02883	Rpl18:AT3G05590
K03094	Ask16:AT2G03190
K15404	CER1:AT1G02205
K00052	IMD2:AT1G80560
K04368	Mek1:AT4G26070
K10757	UGT78D2:AT5G17050
K02932	Rpl5b:AT5G39740
K09264	Shp1:AT3G58780
K12860	AtcDc5:AT1G09770
K01657	AT3G55870:AT3G55870
K01568	Pdc3:AT5G01330
K00791	AtiPt9:AT5G20040
K03097	Cka2:AT3G50000
K01698	HemB2:AT1G44318
K00826	AT1G50090:AT1G50090
K02320	Icu2:AT5G67100
K13176	THO7:AT5G16790
K01427	Ure:AT1G67550
K03966	AT1G49140:AT1G49140
K01696	Tsb2:AT4G27070
K14411	AT4G26650:AT4G26650
K02925	Rpl3b:AT1G61580
K14496	PYL12:AT5G45870
K01535	Aha4:AT3G47950
K13413	AtmKk4:AT1G51660
K08081	AT2G29340:AT2G29340
K03094	Ask14:AT2G03170
K02874	Hll:AT1G17560
K12589	AT3G07750:AT3G07750
K00430	AT5G64100:AT5G64100
K11420	SDG21:AT2G24740
K10688	AtuBc2-1:AT1G45050
K13448	Cen2:AT4G37010
K14408	CSTF77:AT1G17760
K03661	AT2G25610:AT2G25610
K01710	Uxs5:AT3G46440
K11517	AT3G14415:AT3G14415
K14487	AT5G13370:AT5G13370
K02889	AT1G09590:AT1G09590
K01255	AT2G24200:AT2G24200
K09422	MybL2:AT1G71030
K00850	Pfk6:AT4G32840
K08176	AtpT2:AT2G38940
K08081	AT2G29290:AT2G29290
K01653	AT2G31810:AT2G31810
K01728	AT1G11920:AT1G11920
K06700	AT3G53970:AT3G53970
K11251	Hta10:AT1G51060
K12666	AT1G76400:AT1G76400
K11407	Hda05:AT5G61060
K10803	ATXRCC1:AT1G80420
K00938	AT1G31910:AT1G31910
K03027	ATRPAC42:AT1G60850
K01738	OasC:AT3G59760
K02903	AT4G29410:AT4G29410
K12160	SumO3:AT5G55170
K15227	AT5G34930:AT5G34930
K09422	Myb87:AT4G37780
K10575	Ubc7:AT5G59300
K11583	AT5G28900:AT5G28900
K09422	Myb110:AT3G29020
K10405	Atk5:AT4G05190
K01800	GSTZ1:AT2G02390
K11843	Ubp6:AT1G51710
K09422	Myb108:AT3G06490
K07252	AT5G03080:AT5G03080
K12890	ATSRP30:AT1G09140
K00924	Ckl6:AT4G28540
K05580	NdhI:ArthCp078
K05572	NdhA:ArthCp079
K03691	AT5G50420:AT5G50420
K10999	CesA6:AT5G64740
K12591	AT1G54440:AT1G54440
K01687	AT3G23940:AT3G23940
