SPBC106.09	cut4	K03348	anaphase-promoting complex subunit Apc1
SPBC215.09c	erg10	K00626	acetyl-CoA C-acetyltransferase Erg10 (predicted) 
SPAC13G7.01c	erg7	K01852	lanosterol synthase Erg7 (predicted) 
SPAC12G12.10	wdr21	K11799	hypothetical protein
SPBC28F2.04c	cwf7	K12861	splicing factor Cwf7
SPBC12D12.04c	pck2	K18050	protein kinase C (PKC)-like Pck2 
SPBC3E7.14	smf1	K11098	Sm snRNP core protein Smf1
SPBC651.08c	rpc1	K03018	DNA-directed RNA polymerase III complex large subunit Rpc1 (predicted) 
SPAC26A3.08	smb1	K11086	Sm snRNP core protein Smb1
SPBP35G2.08c	air1	K12597	zinc knuckle TRAMP complex subunit Air1
SPAC19A8.05c	sst4	K12182	ESCRT 0 complex subunit sst4
SPCC10H11.02	cwf23	K09537	DNAJ domain protein Cwf23
SPAC26A3.02	myh1	K03575	adenine DNA glycosylase Myh1 
SPAC57A7.10c	sec21	K17267	coatomer gamma subunit Sec21 (predicted)
SPBC365.02c	cox10	K02257	protoheme IX farnesyltransferase (predicted)
SPCC63.12c	pup3	K02735	20S proteasome component beta 3, Pup3 (predicted) 
SPAC17H9.20	psc3	K06671	mitotic cohesin complex, non-SMC subunit Psc3
SPAC13G6.04	tim8	K17780	TIM22 inner membrane protein import complex subunit Tim8 (predicted)
SPBC21C3.08c	car2	K00819	ornithine transaminase Car2 
SPCC1442.16c	zta1	K00344	NADPH quinone oxidoreductase/ARE-binding protein (predicted) 
SPAC23H4.06	gln1	K01915	glutamate-ammonia ligase Gln1 
SPBC11B10.10c	pht1	K11251	histone H2A variant H2A.Z, Pht1
SPAC56E4.02c	alg13	K07432	N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase Alg13 (predicted) 
SPBC17G9.04c	nup85	K14304	nucleoporin Nup85
SPBC16G5.01	rpn12	K03031	19S proteasome regulatory subunit Rpn12
SPBC16G5.04	mrpl23	K02871	mitochondrial ribosomal protein subunit L13 (predicted)
SPBC16G5.08	trp4	K00766	phosphoribosylanthranilate transferase Trp4 (predicted) 
SPAC732.01	vma11	K02155	V-type ATPase V0 proteolipid subunit (predicted)
SPCC31H12.05c	sds21	K06269	serine/threonine protein phosphatase Sds21 
SPBC3E7.15c	lac1	K04709	sphingosine N-acyltransferase Lac1
SPCC297.03	ssp1	K07359	serine/threonine protein kinase Ssp1
SPBC3E7.10	fma1	K01265	methionine aminopeptidase Fma1 (predicted) 
SPAC3H1.04c	mdm31	K17979	mitochondrial inner membrane protein Mdm31 (predicted)
SPCC1223.15c	spc19	K11572	DASH complex subunit Spc19
SPBC31E1.01c	atg2	K17906	autophagy associated protein Atg2
SPCC1884.02	nic1	K07241	NiCoT heavy metal ion transporter Nic1
SPCC364.02c	bis1	K13118	stress response protein Bis1
SPBC4.07c	rpt2	K03062	19S proteasome regulatory subunit Rpt2
SPBP19A11.06	lid2	K11446	Lid2 complex subunit, predicted histone demethylase Lid2
SPBP19A11.01	gcv3	K02437	glycine decarboxylase complex subunit H (predicted)
SPBC19G7.16	iws1	K17498	transcription elongation factor complex subunit Iws1 (predicted)
SPCC830.08c	yop1	K17279	ER membrane protein DP1/Yop1
SPAC11G7.02	pub1	K10591	HECT-type ubiquitin-protein ligase E3 Pub1 
SPAC11G7.03	idh1	K00030	isocitrate dehydrogenase (NAD+) subunit 1 Idh1 
SPBC646.06c	agn2	K08254	glucan endo-1,3-alpha-glucosidase Agn2 
SPAC15A10.02	taf12	K03126	transcription factor TFIID complex subunit A/SAGA complex subunit
SPAC11G7.04	ubi1	K02927	ubiquitin-60S ribosomal protein L40 fusion protein
SPAC16A10.04	rho4	K07975	Rho family GTPase Rho4
SPAC6F6.10c	arc2	K05758	ARP2/3 actin-organizing complex subunit Arc34
SPBC27B12.10c	tom7	K17771	mitochondrial TOM complex subunit Tom7 (predicted)
SPCC18.18c	fum1	K01679	fumarate hydratase (predicted) 
SPAC4F10.12	fta1	K11504	kinetochore protein fta1
SPAC4F10.11	spn1	K16944	septin Spn1
SPBC25H2.07	tif11	K03236	translation initiation factor eIF1A
SPBC25H2.02	trs1	K01868	cytoplasmic threonine-tRNA ligase Trs1 (predicted) 
SPAC26A3.04	rpl2002	K02882	60S ribosomal protein L20
SPAC57A10.03	cyp1	K12733	cyclophilin family peptidyl-prolyl cis-trans isomerase Cyp1 
SPAC57A10.02	cdr2	K18679	serine/threonine protein kinase Cdr2
SPCC1020.12c	xap5	K13119	xap-5-like protein
SPCC4B3.16	tip41	K17607	TIP41-like type 2a phosphatase regulator Tip41
SPCC663.12	cid12	K11700	poly(A) polymerase Cid12
SPCC4B3.12	set9	K11429	histone lysine methyltransferase Set9
SPAC18G6.11c	rrn3	K15216	ribosomal DNA (rDNA) transcription factor Rrn3
SPAC8E11.03c	dmc1	K10872	RecA family ATPase Dmc1
SPBC1A4.01	apc10	K03357	anaphase-promoting complex subunit Apc10
SPAC23C11.17	mdm28	K17800	mitochondrial inner membrane protein involved in potassium ion transport Mdm28 (predicted)
SPBC119.08	pmk1	K04464	MAP kinase Pmk1
SPBC119.01	rpn3	K03033	19S proteasome regulatory subunit Rpn3
SPCC4G3.14	mdj1	K03686	mitochondrial DNAJ domain protein Mdj1 (predicted)
SPBC119.02	ubc4	K06689	ubiquitin conjugating enzyme Ubc4 
SPAC3A11.08	pcu4	K10609	cullin 4
SPAC3A12.17c	cys12	K01738	cysteine synthase Cys12 
SPBC119.07	ppk19	K08333	serine/threonine protein kinase Ppk19
SPBC119.06	sco1	K07152	copper chaperone Sco1 (predicted)
SPAC17D4.02	cdc45	K06628	DNA replication pre-initiation complex subunit Cdc45
SPCC4F11.02	ptc1	K01090	protein phosphatase 2C Ptc1 
SPAC17D4.01	pex7	K13341	peroxin-7 (predicted)
SPBC29B5.01	atf1	K09051	transcription factor, Atf-CREB family Atf1
SPBC17A3.07	pgr1	K00383	mitochondrial glutathione reductase Pgr1
SPBC2G2.08	ade9	K00288	trifunctional formate-tetrahydrofolate ligase/methenyltetrahydrofolate cyclohydrolase/methylenetetrahydrofolate dehydrogenase 
SPCC548.04	urm1	K12161	ubiquitin family protein Urm1 (predicted)
SPBC649.03	rhp14	K10847	DNA repair protein
SPBC649.02	rps1902	K02966	40S ribosomal protein S19
SPAC959.08	rpl2102	K02889	60S ribosomal protein L21
SPCC1620.01c	lsm2	K12621	U6 snRNP-associated protein core protein (predicted)
SPCC18.16c	fmn1	K00861	riboflavin kinase Fmn1
SPAC4G9.16c	rpl901	K02940	60S ribosomal protein L9
SPAC25H1.10c	atp19	K02143	F0-ATPase subunit K (predicted)
SPAC959.07	rps403	K02987	40S ribosomal protein S4
SPAC20H4.03c	tfs1	K03145	transcription elongation factor TFIIS
SPAC823.06	taf3	K14650	transcription factor TFIID complex subunit Taf3 (predicted)
SPBC106.05c	tim11	K01549	F0-ATPase subunit E (predicted)
SPAC823.03	ppk15	K18670	serine/threonine protein kinase Ppk15 (predicted)
SPCC126.14	prp18	K12817	U5 snRNP-associated protein Prp18 (predicted)
SPBC1A4.10c	pmc1	K15156	mediator complex subunit Pmc1
SPBP4H10.06c	cut14	K06674	condensin complex subunit Cut14
SPAC2G11.02	urb2	K14862	ribosome biogenesis protein Urb2 (predicted)
SPAC2G11.06	vps4	K12196	AAA family ATPase Vps4 (predicted)
SPBC18E5.05c	iki1	K11376	elongator complex subunit Iki1 (predicted)
SPBC685.04c	aps2	K11827	AP-2 adaptor complex subunit Aps2 (predicted)
SPAC1071.01c	pta1	K06100	mRNA cleavage and polyadenylation specificity factor complex subunit Pta1
SPAC821.06	spn2	K16938	septin Spn2
SPBC1703.12	ubp9	K11872	ubiquitin C-terminal hydrolase Ubp9
SPCC965.03	vma8	K02149	V-type ATPase V1 subunit D (predicted) 
SPBC1703.10	ypt1	K07874	GTPase Ypt1
SPAC2G11.15c	tgs1	K14292	RNA methyltransferase Tgs1 (predicted)
SPCC550.04c	gpi2	K03859	pig-C (predicted)
SPAC1002.15c	pmc5	K15128	mediator complex subunit Pmc5
SPBC3F6.04c	nop14	K14766	U3 snoRNP protein Nop14 (predicted)
SPBC19C2.08	prp38	K12849	U4/U6 X U5 tri-snRNP complex subunit Prp38 (predicted)
SPCC1672.05c	yrs1	K01866	cytoplasmic tyrosine-tRNA ligase Yrs1 (predicted) 
SPBC19C2.02	pmt1	K15336	DNA methyltransferase
SPBC19C2.03	rpc10	K03009	DNA-directed RNA polymerase I, II and III subunit Rpc10 
SPBC19C2.01	cdc28	K12813	ATP-dependent RNA helicase Cdc28
SPBC19C2.07	fba1	K01624	fructose-bisphosphate aldolase Fba1 
SPAC11E3.09	pyp3	K01104	protein-tyrosine phosphatase Pyp3 
SPBC3B9.07c	rpa43	K03004	DNA-directed RNA polymerase I complex subunit Rpa43 
SPAC1486.05	nup189	K14297	nucleoporin Nup98 and Nup96
SPCC4G3.06c	mrpl4	K17428	mitochondrial ribosomal protein subunit L4 (predicted)
SPAC11E3.07	vma4	K02150	V-type ATPase V1 subunit E (predicted) 
SPCC576.09	rps20	K02969	40S ribosomal protein S20
SPAPB17E12.07c	sen2	K15322	tRNA-splicing endonuclease subunit catalytic subunit Sen2 (predicted)
SPCC1223.08c	dfr1	K00287	dihydrofolate reductase Dfr1 
SPAC2C4.11c	rbp28	K11884	RNA-binding protein Rbp28
SPCP1E11.09c	rpp103	K02942	60S acidic ribosomal protein P1
SPBPB2B2.12c	gal10	K01784	UDP-glucose 4-epimerase/aldose 1-epimerase Gal10 
SPAC3G6.11	chl1	K11273	ATP-dependent DNA helicase Chl1 (predicted)
SPBC32F12.02	rec14	K12601	Ski complex subunit Rec14
SPCC1259.15c	ubc11	K06688	ubiquitin conjugating enzyme E2-C, Ubc11 
SPBC32F12.04	gtb1	K10389	gamma-tubulin
SPBC365.03c	rpl2101	K02889	60S ribosomal protein L21
SPCC126.15c	sec65	K03105	signal recognition particle subunit Sec65 (predicted)
SPBC3B8.11	rrn6	K15218	RNA polymerase I transcription factor subunit Rrn6 (predicted)
SPAC1556.01c	rad50	K10866	DNA repair protein Rad50
SPAC6B12.05c	ies2	K11676	Ino80 complex subunit Ies2
SPAC17G6.16c	ysh1	K14403	mRNA cleavage and polyadenylation specificity factor complex endoribonuclease subunit Ysh1
SPBC25H2.11c	spt7	K11359	SAGA complex bromodomain subunit Spt7
SPAC22E12.14c	sck2	K08286	serine/threonine protein kinase Sck2
SPBC2D10.12	rhp23	K10839	UV excision repair protein rhp23
SPBC2D10.18	abc1	K08869	ABC1 kinase family ubiquinone biosynthesis protein Abc1/Coq8
SPAC23D3.04c	gpd2	K00006	glycerol-3-phosphate dehydrogenase Gpd2 
SPBC354.14c	vac8	K08332	vacuolar protein Vac8 (predicted)
SPAC1805.13	rpl14	K02875	60S ribosomal protein L14
SPAC1805.17	crm1	K14290	importin family nuclear export receptor Crm1
SPAC26H5.08c	bgl2	K01210	glucan beta-glucosidase Bgl2 (predicted) 
SPBC887.15c	sur2	K04713	sphingosine hydroxylase Sur2
SPAP7G5.04c	lys1	K00143	aminoadipate-semialdehyde dehydrogenase 
SPBP4H10.05c	spe2	K01611	S-adenosylmethionine decarboxylase proenzyme Spe2 
SPAC1B2.02c	ugo1	K17967	mitochondrial fusion and transport protein Ugo1 (predicted)
SPCC962.04	rps1201	K02951	40S ribosomal protein S12
SPBC336.10c	tif512	K03263	translation elongation factor eIF5A (predicted)
SPAC23H4.18c	rbx1	K03868	RING-box protein 1
SPAC17C9.09c	tim13	K17781	TIM22 inner membrane protein import complex subunit Tim13 (predicted)
SPBC1683.07	mal1	K01187	maltase alpha-glucosidase Mal1 
SPAPB1A10.03	nxt1	K14285	mRNA export receptor Nxt1
SPBC4.04c	mcm2	K02540	MCM complex subunit Mcm2
SPAC23H3.09c	gly1	K01620	threonine aldolase Gly1 (predicted) 
SPAC1783.08c	rpl1502	K02877	60S ribosomal protein L15
SPBC3E7.01	fab1	K00921	1-phosphatidylinositol-3-phosphate 5-kinase Fab1 
SPBC31E1.02c	pmr1	K01537	P-type ATPase, calcium transporting Pmr1 
SPBC1711.10c	npl4	K14015	Cdc48-Npl4-Ufd1 complex component Npl4 (predicted)
SPBC25D12.03c	mcm7	K02210	MCM complex subunit Mcm7
SPCC23B6.03c	tel1	K04728	ATM checkpoint kinase
SPAC926.04c	hsp90	K04079	Hsp90 chaperone
SPCC1682.12c	ubp16	K11855	ubiquitin C-terminal hydrolase Ubp16
SPAC13G6.14	aps1	K07766	diadenosine 5',5'''-p1,p6-hexaphosphate hydrolase Aps1 
SPAC1565.04c	ste4	K09062	adaptor protein Ste4
SPAC688.02c	mis14	K11561	kinetochore protein Mis14
SPAC1687.13c	csn5	K09613	COP9/signalosome complex subunit Csn5
SPAC19G12.14	its3	K00889	1-phosphatidylinositol-4-phosphate 5-kinase Its3 
SPCC1840.02c	bgs4	K00706	1,3-beta-glucan synthase subunit Bgs4 
SPBC365.14c	uge1	K01784	UDP-glucose 4-epimerase Uge1
SPAC959.04c	omh6	K10967	alpha-1,2-mannosyltransferase Omh6 (predicted) 
SPAC22E12.09c	krp1	K01341	kexin 
SPBC19C7.07c	sen34	K15323	tRNA-splicing endonuclease catalytic subunit Sen34 (predicted) 
SPBC4B4.02c	nca2	K18158	mitochondrial protein Nca2 (predicted)
SPAC26F1.06	gpm1	K01834	monomeric 2,3-bisphosphoglycerate (BPG)-dependent phosphoglycerate mutase (PGAM), Gpm1 
SPAC26F1.03	pda1	K00161	pyruvate dehydrogenase E1 component alpha subunit Pda1 (predicted) 
SPBC1706.03	fzo1	K06030	mitochondrial dynamin family fusion GTPase protein (predicted)
SPBC1921.01c	rpl35b	K02917	60S ribosomal protein L33
SPAC1420.04c	cox11	K02258	rsm22-cox11 tandem protein cox1101
SPAC144.10c	gwt1	K05283	pig-W 
SPBP22H7.09c	mis15	K11551	kinetochore protein Mis15
SPAC8E11.02c	rad24	K06630	14-3-3 protein Rad24
SPCC132.04c	gdh2	K15371	NAD-dependent glutamate dehydrogenase Gdh2 (predicted) 
SPBC23E6.07c	rfc1	K10754	DNA replication factor C complex subunit Rfc1
SPAC1002.03c	gls2	K05546	glucosidase II Gls2 
SPBC16A3.09c	ufd1	K14016	Cdc48-Ufd1-Npl4 complex component Ufd1 (predicted)
SPBC1539.09c	trp1	K13501	anthranilate synthase component II (predicted) 
SPBC17G9.05	rct1	K12735	RRM-containing cyclophilin regulating transcription Rct1
SPBC17G9.07	rps2402	K02974	40S ribosomal protein S24
SPBP16F5.03c	tra1	K08874	SAGA complex phosphatidylinositol pseudokinase Tra1
SPAC29B12.06c	rcd1	K12606	RNA-binding protein, CCR4-NOT complex subunit Rcd1
SPBC17G9.09	tif213	K03242	translation initiation factor eIF2 gamma subunit (predicted)
SPBC25B2.02c	mam1	K05658	M-factor transporter Mam1
SPAC17D4.03c	cis4	K14692	cation diffusion family zinc membrane transporter Cis4
SPBC31F10.09c	nut2	K15151	mediator complex subunit Med10
SPAC23H4.12	alp13	K11339	MRG family Clr6 histone deacetylase complex subunit Alp13
SPAC4G9.17c	mrps5	K02988	mitochondrial ribosomal protein subunit S5 (predicted)
SPBC19C7.06	prs1	K01881	cytoplasmic proline-tRNA ligase Prs1 (predicted) 
SPBC19C7.01	mni1	K14294	hypothetical protein
SPBC19C7.03	cyr1	K01768	adenylate cyclase 
SPBC19C7.02	ubr1	K10625	N-end-recognizing protein Ubr1
SPBC839.15c	ef1a-c	K03231	translation elongation factor EF-1 alpha Ef1a-c
SPAC13G7.05	are1	K00637	acyl-coA-sterol acyltransferase Are1 (predicted) 
SPAC13G7.06	met16	K00390	phosphoadenosine phosphosulfate reductase 
SPAC16C9.04c	mot2	K10643	CCR4-Not complex subunit Mot2 (predicted)
SPBC409.04c	mis12	K11559	kinetochore protein Mis12
SPCC830.07c	psi1	K09510	DNAJ domain protein, involved in translation initiation Psi1
SPCC548.06c	ght8	K08139	hexose transporter Ght8 (predicted)
SPBC902.05c	idh2	K00030	isocitrate dehydrogenase (NAD+) subunit 2 
SPBC19F8.08	rps401	K02987	40S ribosomal protein S4
SPBC19F8.07	mcs6	K02202	cyclin-dependent protein kinase/CDK-activating kinase Mcs6 
SPCC4G3.02	aph1	K01518	bis(5'-nucleosidyl)-tetraphosphatase 
SPCC1020.06c	tal1	K00616	transaldolase (predicted) 
SPAC167.03c	snu66	K11984	U4/U6 X U5 tri-snRNP complex subunit Snu66 (predicted)
SPBC17A3.10	pas4	K13346	peroxisomal ubiquitin-protein ligase E3 (predicted)
SPAC13G6.06c	gcv2	K00281	glycine cleavage complex subunit P (predicted) 
SPAC25B8.04c	mss51	K17656	mitochondrial splicing suppressor Mss51 (predicted)
SPAC328.10c	rps502	K02989	40S ribosomal protein S5
SPCC63.04	mok14	K00749	alpha-1,4-glucan synthase Mok14 
SPBC8D2.13	shq1	K14764	box H/ACA snoRNP assembly protein Shq1 (predicted)
SPAC4F8.02c	mrpl40	K02895	mitochondrial ribosomal protein subunit L40 (predicted)
SPBC660.13c	ssb1	K07466	DNA replication factor A subunit Ssb1
SPAC926.09c	fas1	K00668	fatty acid synthase beta subunit Fas1 
SPBC14C8.07c	cdc18	K02213	MCM loader
SPAC823.15	ppa1	K04382	minor serine/threonine protein phosphatase Ppa1 
SPBC32H8.12c	act1	K05692	actin Act1
SPCC4G3.05c	mus81	K08991	Holliday junction resolvase subunit Mus81
SPAC2G11.12	rqh1	K10901	RecQ type DNA helicase Rqh1
SPAC2G11.13	atg22	K06902	vacuolar amino acid efflux transporter Atg22
SPAC2G11.14	taf111	K03125	transcription factor TFIID complex subunit Taf111
SPAC6G10.08	idp1	K00031	isocitrate dehydrogenase Idp1 (predicted) 
SPAC25H1.06	pcf3	K10752	CAF assembly factor (CAF-1) complex subunit C, Pcf3
SPAC821.12	orb6	K08286	serine/threonine protein kinase Orb6 
SPCC24B10.08c	ada2	K11314	SAGA complex subunit Ada2
SPBP22H7.08	rps1002	K02947	40S ribosomal protein S10
SPBC8D2.03c	hhf2	K11254	histone H4 h4.2
SPBC1703.02	rsc9	K11763	RSC complex subunit Rsc9
SPBC1703.04	mlh1	K08734	MutL family protein Mlh1 (predicted)
SPBC1703.06	pof10	K15073	F-box protein Pof10
SPAC3A12.16c	tim17	K17795	TIM23 translocase complex subunit Tim17 (predicted)
SPCC306.03c	cnd2	K06676	condensin complex non-SMC subunit Cnd2
SPBC1105.16c	rpr2	K03540	RNase P subunit Rpr2 (predicted)
SPCC736.11	ago1	K11593	argonaute
SPAC22A12.15c	bip1	K09490	ER heat shock protein BiP
SPBC56F2.14	mrpl44	K17434	mitochondrial ribosomal protein subunit L44 (predicted)
SPBC56F2.11	met6	K00641	homoserine O-acetyltransferase Met6 
SPBC56F2.12	ilv5	K00053	acetohydroxyacid reductoisomerase (predicted) 
SPBC211.02c	cwf3	K12867	complexed with Cdc5 protein Cwf3
SPBC16A3.11	eso1	K03509	sister chromatid cohesion protein/DNA polymerase eta Eso1 
SPBC776.12c	hsk1	K02214	Dbf4(Dfp1)-dependent protein kinase Hsk1
SPBC16A3.13	meu7	K01176	alpha-amylase 4 
SPAC9E9.03	leu2	K01702	3-isopropylmalate dehydratase Leu2 (predicted) 
SPBC887.05c	cwf29	K13107	RNA-binding protein Cwf29
SPAC869.10c	put4	K16261	proline specific plasma membrane permease Put4 (predicted)
SPCC1281.05	rsc7	K11761	RSC complex subunit Rsc7
SPCC1281.01	ags1	K00749	alpha-1,4-glucan synthase Ags1 
SPAC3G6.08	erv1	K17783	mitochondrial sulfhydryl oxidase (predicted)
SPAC1783.05	hrp1	K11367	ATP-dependent DNA helicase Hrp1
SPAC3G9.10c	rrp41	K11600	exosomal 3'-to-5' phosphorolytic exoribonuclease Rrp41 (predicted)
SPBC428.19c	utp15	K14549	U3 snoRNP protein Utp15 (predicted)
SPAC3G6.01	hrp3	K11367	ATP-dependent DNA helicase Hrp3
SPAC3G6.02	dss1	K10881	mRNA export protein Dss1
SPBC32F12.11	tdh1	K00134	glyceraldehyde-3-phosphate dehydrogenase Tdh1 
SPBC32F12.15	tfb5	K10845	transcription factor TFIIH complex subunit Tfb5 (predicted)
SPCC1795.04c	pre10	K02727	20S proteasome component alpha 7, Pre10 (predicted) 
SPAC15A10.01	atm1	K05663	mitochondrial ABC family iron transporter Atm1
SPBC1709.09	rrf1	K02838	mitochondrial translation termination factor Rrf1
SPCC777.14	prp4	K08827	serine/threonine protein kinase Prp4
SPAC2F7.16c	pld1	K01115	phospholipase D, Pld1 
SPAC1805.04	nup132	K14300	nucleoporin Nup132
SPAC1805.05	cki3	K02218	serine/threonine protein kinase Cki3 
SPAC1851.03	ckb1	K03115	CK2 family regulatory subunit Ckb1
SPAC1851.02	slc1	K13509	1-acylglycerol-3-phosphate O-acyltransferase Slc1 (predicted) 
SPAC22G7.09c	nup45	K14307	nucleoporin Nup45
SPBC337.14	rpb4	K03012	DNA-directed RNA polymerase II complex subunit Rpb4
SPBC337.16	cho1	K00550	phosphatidyl-N-methylethanolamine N-methyltransferase (predicted) 
SPAC1782.09c	clp1	K06639	Cdc14-related protein phosphatase Clp1/Flp1
SPBC2F12.14c	gua1	K00088	IMP dehydrogenase Gua1 (predicted) 
SPCC16A11.09c	tim23	K17794	TIM23 translocase complex subunit Tim23 (predicted)
SPCC737.02c	qcr7	K00417	ubiquinol-cytochrome-c reductase complex subunit 6 (predicted) 
SPBC16A3.15c	nda2	K07374	tubulin alpha 1
SPAC19E9.02	fin1	K08857	serine/threonine protein kinase, NIMA related Fin1
SPBC28F2.06c	mdm12	K17765	Mdm10/Mdm12/Mmm1 complex subunit Mdm12
SPAC664.04c	rps1602	K02960	40S ribosomal protein S16
SPBC25B2.05	mis3	K06961	rRNA processing protein Mis3
SPCC18B5.04	rsm18	K02963	mitochondrial ribosomal protein subunit S18 (predicted)
SPAPB17E12.04c	csn2	K12176	COP9/signalosome complex subunit Csn2
SPCC63.10c	sec59	K00902	dolichol kinase Sec59 (predicted)
SPBC1289.03c	spi1	K07936	Ran GTPase Spi1
SPAC1556.02c	sdh1	K00234	succinate dehydrogenase Sdh1 (predicted) 
SPAC23D3.14c	aah2	K01176	alpha-amylase 2 
SPAC10F6.01c	sir1	K00381	sulfite reductase Sir1 
SPBC409.07c	wis1	K11227	MAP kinase kinase Wis1
SPAC27D7.07c	smd1	K11087	Sm snRNP core protein Smd1
SPCC550.12	arp6	K11662	actin-like protein Arp6
SPBC16C6.08c	qcr6	K00416	ubiquinol-cytochrome-c reductase complex subunit 8, hinge protein (predicted)
SPAC15A10.05c	mug182	K17759	YjeF family pyridoxamine-phosphate oxidase (predicted)
SPCC550.13	dfp1	K02309	Hsk1-Dfp1 kinase complex regulatory subunit Dfp1
SPCC4B3.17	cbp3	K17662	ubiquinol cytochrome-c reductase assembly protein Cbp3 (predicted)
SPBC31F10.15c	atp15	K02135	F0-ATPase epsilon subunit (predicted) 
SPCC550.10	meu8	K00130	aldehyde dehydrogenase Meu8 (predicted)
SPBC30B4.01c	wsc1	K11244	transmembrane receptor Wsc1 (predicted)
SPAC139.06	hat1	K11303	histone acetyltransferase Hat1 
SPCC548.07c	ght1	K08139	hexose transporter Ght1
SPAC16.01	rho2	K07975	Rho family GTPase Rho2
SPAC23H3.08c	bub3	K02180	mitotic spindle checkpoint protein Bub3
SPAC16.04	dus3	K05544	tRNA dihydrouridine synthase Dus3 (predicted)
SPBC30D10.18c	rpl102	K02865	60S ribosomal protein L1
SPBC216.05	rad3	K06640	ATR checkpoint kinase Rad3
SPAC3G6.06c	rad2	K04799	FEN-1 endonuclease Rad2
SPAC1834.11c	sec18	K06027	secretory pathway protein Sec18 (predicted)
SPBC17G9.10	rpl1102	K02868	60S ribosomal protein L11
SPBC1703.14c	top1	K03163	DNA topoisomerase I 
SPCC965.07c	gst2	K00799	glutathione S-transferase Gst2 
SPBC30B4.05	kap109	K18423	karyopherin Kap109
SPCC757.09c	rnc1	K18738	RNA-binding protein
SPAC16E8.11c	tfb1	K03141	transcription factor TFIIH complex subunit Tfb1 (predicted)
SPBC21D10.05c	ucp3	K12486	GTPase activating protein Ucp3 (predicted)
SPBC1773.10c	nrs1	K01893	cytoplasmic asparagine-tRNA ligase Nrs1 (predicted) 
SPAC56F8.09	rrp8	K14850	rRNA methyltransferase Rrp8 (predicted)
SPBC30B4.07c	tfb4	K03143	transcription factor TFIIH complex subunit Tfb4
SPCC16C4.12	naa20	K17972	NatB N-acetyltransferase complex catalytic subunit Naa20 (predicted)
SPCC16C4.11	pef1	K06655	Pho85/PhoA-like cyclin-dependent kinase Pef1 
SPCP31B10.03c	med31	K15153	mediator complex subunit Med31
SPBC106.14c	sda1	K14856	SDA1 family protein (predicted)
SPBC409.09c	mis13	K11560	kinetochore protein Mis13
SPAC1805.07c	dad2	K11567	DASH complex subunit Dad2
SPBC3B9.13c	rpp102	K02942	60S acidic ribosomal protein P1
SPAC18B11.10	tup11	K06666	transcriptional corepressor Tup11
SPAPB1E7.02c	mcl1	K11274	DNA polymerase alpha accessory factor Mcl1
SPBC17A3.01c	tim50	K17496	TIM23 translocase complex subunit Tim50 (predicted)
SPBC28E12.05	esf2	K14785	U3 snoRNP-associated protein Esf2 (predicted)
SPBC23E6.04c	utp10	K14550	U3 snoRNP-associated protein Utp10 (predicted)
SPCC613.10	qcr2	K00415	ubiquinol-cytochrome-c reductase complex core protein Qcr2 (predicted) 
SPCC757.07c	ctt1	K03781	catalase 
SPBC215.05	gpd1	K00006	glycerol-3-phosphate dehydrogenase Gpd1 
SPBC215.02	bob1	K04797	prefoldin subunit 5 (predicted)
SPAC17H9.16	tom22	K17769	mitochondrial TOM complex subunit Tom22 (predicted)
SPCC63.11	prp28	K12858	U5 snRNP-associated protein Prp28 (predicted)
SPCC1840.06	atp5	K02137	F0-ATPase delta subunit (predicted)
SPBC4B4.06	vps25	K12189	ESCRT II complex subunit Vps25
SPBC4B4.05	smg1	K11099	U4/U6 X U5 tri-snRNP complex Sm snRNP core protein Smg1
SPBC4B4.03	rsc1	K11756	RSC complex subunit Rsc1
SPBC4B4.08	ght2	K08139	hexose transporter Ght2
SPBC4B4.09	usp105	K13217	U1 snRNP-associated protein Usp105
SPBC887.04c	lub1	K14018	WD repeat protein Lub1
SPAC17H9.09c	ras1	K07827	GTPase Ras1
SPCC1795.11	sum3	K11594	ATP-dependent RNA helicase Sum3
SPBC2G2.05	rpl1603	K02872	60S ribosomal protein L16
SPCP31B10.05	tdp1	K10862	tyrosyl-DNA phosphodiesterase Tdp1
SPCP31B10.07	eft202	K03234	translation elongation factor 2 (EF-2) Eft2,B
SPAC3G9.13c	msw1	K01867	mitochondrial tryptophan-tRNA ligase Msw1 (predicted) 
SPBC19F5.02c	utp4	K14548	U3 snoRNP protein Utp4 (predicted)
SPCC1919.10c	myo52	K10357	myosin type V
SPAC13C5.07	rad32	K10865	Rad32 nuclease
SPAC1F8.01	ght3	K08139	hexose transporter Ght3
SPBC3H7.15	hhp1	K14758	serine/threonine protein kinase Hhp1
SPCC645.02	gep4	K01094	mitochondrial matrix PGP phosphatase involved in cardiolipin biosynthesis Gep4 (predicted)
ScpofMp01	cox1	K02256	cytochrome c oxidase 1
SPBP23A10.15c	qcr1	K17732	mitochondrial processing peptidase (MPP) complex beta subunit Qcr1 (predicted) 
ScpofMp04	cob	K00412	cytochrome b
SPAC1F3.01	rrp6	K12591	exosome 3'-5' exoribonuclease subunit Rrp6 (predicted)
SPCC417.08	tef3	K03235	translation elongation factor eEF3
SPBC29A3.02c	his7	K11755	phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphohydrolase His7 
SPCC550.02c	cwf5	K12872	RNA-binding protein Cwf5
SPAC13G6.07c	rps601	K02991	40S ribosomal protein S6
