Dmel_CG43398	scrib	K16175	scribbled
Dmel_CG4654	Dp	K09394	DP transcription factor
1696	Dd	K17617	Dullard 
Dmel_CG4921	Rab4	K07880	CG4921 gene product from transcript CG4921-RA
Dmel_CG4926	Ror	K05122	CG4926 gene product from transcript CG4926-RA 
Dmel_CG1736	Prosalpha3T	K02728	Proteasome alpha3 subunit, Testis-specific 
Dmel_CG9874	Tbp	K03120	TATA binding protein
Dmel_CR33398	5SrRNA:CR33398	K01981	5S ribosomal RNA
Dmel_CG4656	Rassf	K09851	Ras association family member
Dmel_CG8039	mRpL19	K02884	mitochondrial ribosomal protein L19
Dmel_CR33399	5SrRNA:CR33399	K01981	5S ribosomal RNA
Dmel_CG4039	Mcm6	K02542	Minichromosome maintenance 6
Dmel_CG18681	epsilonTry	K01312	epsilonTrypsin 
30028	gammaTry	K01312	gammaTrypsin 
Dmel_CG1049	Cct1	K00968	CTP:phosphocholine cytidylyltransferase 1 
Dmel_CG1048	zen2	K09311	zerknullt-related
Dmel_CG1511	Eph	K05110	Eph receptor tyrosine kinase 
Dmel_CG1046	zen	K09311	zerknullt
Dmel_CG4033	RpI135	K03002	RNA polymerase I 135kD subunit 
Dmel_CG1512	Cul2	K03870	Cullin 2
Dmel_CG4035	eIF-4E	K03259	Eukaryotic initiation factor 4E
Dmel_CG11500	Spase12	K12946	Spase 12-subunit 
Dmel_CG14886	Gyc-89Db	K01769	Guanylyl cyclase at 89Db 
Dmel_CG14887	Dhfr	K00287	Dihydrofolate reductase 
Dmel_CG18332	CSN3	K12177	COP9 complex homolog subunit 3
Dmel_CR33394	5SrRNA:CR33394	K01981	5S ribosomal RNA
Dmel_CG18330	Cct2	K00968	CTP:phosphocholine cytidylyltransferase 2 
33826	His2A:CG33826	K11251	CG33826 gene product from transcript CG33826-RA
33821	His3:CG33821	K11253	CG33821 gene product from transcript CG33821-RA
18023	Eip78C	K08701	Ecdysone-induced protein 78C
33823	His2A:CG33823	K11251	CG33823 gene product from transcript CG33823-RA
Dmel_CR33395	5SrRNA:CR33395	K01981	5S ribosomal RNA
8790	Dic1	K13577	Dicarboxylate carrier 1
33884	His2B:CG33884	K11252	CG33884 gene product from transcript CG33884-RA
7700	Gos28	K08495	Golgi SNARE, 28 kDa
Dmel_CR33396	5SrRNA:CR33396	K01981	5S ribosomal RNA
6551	fu	K06228	fused 
Dmel_CG17522	GstE10	K00799	Glutathione S transferase E10 
Dmel_CG17523	GstE2	K00799	Glutathione S transferase E2 
Dmel_CG17520	CkIIalpha	K03097	casein kinase IIalpha 
Dmel_CG33893	His4:CG33893	K11254	CG33893 gene product from transcript CG33893-RA
Dmel_CG33894	His2B:CG33894	K11252	CG33894 gene product from transcript CG33894-RA
Dmel_CG17527	GstE5	K00799	Glutathione S transferase E5 
Dmel_CG17524	GstE3	K00799	Glutathione S transferase E3 
Dmel_CG9291	EloC	K03872	Elongin C
Dmel_CG33898	His2B:CG33898	K11252	CG33898 gene product from transcript CG33898-RA
Dmel_CG33899	His4:CG33899	K11254	CG33899 gene product from transcript CG33899-RA
Dmel_CG3821	Aats-asp	K01876	Aspartyl-tRNA synthetase 
Dmel_CG3820	Nup214	K14317	Nucleoporin 214kD
Dmel_CG3827	sc	K09067	scute
Dmel_CG9450	tud	K18405	tudor
Dmel_CG17853	Or43b	K08471	Odorant receptor 43b
Dmel_CG3886	Psc	K11459	Posterior sex combs
Dmel_CR33392	5SrRNA:CR33392	K01981	5S ribosomal RNA
8648	Fen1	K04799	Flap endonuclease 1 
Dmel_CG9985	sktl	K00889	skittles 
Dmel_CG8453	Cyp6g1	K14999	CG8453 gene product from transcript CG8453-RB 
Dmel_CG8103	Mi-2	K11643	CG8103 gene product from transcript CG8103-RA 
7177	Wnk	K08867	WNK homolog 
Dmel_CG8457	Cyp6t3	K14999	CG8457 gene product from transcript CG8457-RA 
Dmel_CG8104	nudE	K16738	CG8104 gene product from transcript CG8104-RE
Dmel_CG8107	CalpB	K08585	Calpain-B
1495	CaMKI	K08794	Calcium/calmodulin-dependent protein kinase I 
Dmel_CG2411	ptc	K06225	patched
Dmel_CG7144	LKR	K14157	lysine ketoglutarate reductase 
Dmel_CG12799	Ubc84D	K04552	Ubiquitin conjugating enzyme 84D 
Dmel_CG12792	l(2)09851	K14848	lethal (2) 09851
6207	GlcAT-P	K10812	CG6207 gene product from transcript CG6207-RE 
Dmel_CG9273	RPA2	K10739	Replication protein A2
Dmel_CG8226	Tom7	K17771	Translocase of outer membrane 7
Dmel_CG9277	betaTub56D	K07375	beta-Tubulin at 56D
Dmel_CG11680	mle	K13184	maleless 
Dmel_CG4109	Syx8	K08501	Syntaxin 8
Dmel_CG4108	Chmp1	K12197	Charged multivesicular body protein 1
Dmel_CG4105	Cyp4e3	K15001	Cytochrome P450-4e3 
Dmel_CG4104	Tps1	K16055	Trehalose-6-phosphate synthase 1 
Dmel_CG4107	Gcn5	K06062	Gcn5 ortholog 
Dmel_CG31842	mRpS23	K17402	mitochondrial ribosomal protein S23
Dmel_CG4103	l(2)35Bc	K10761	lethal (2) 35Bc 
Dmel_CG1462	Aph-4	K01077	Alkaline phosphatase 4 
Dmel_CR33404	5SrRNA:CR33404	K01981	5S ribosomal RNA
Dmel_CG11115	Ssl1	K03142	Suppressor of Stem-Loop mutation ortholog (S. cerevisiae)
9126	Stim	K16059	Stromal interaction molecule
Dmel_CG11440	laza	K01080	lazaro 
7597	Cdk12	K08819	CG7597 gene product from transcript CG7597-RB 
Dmel_CG3922	RpS17	K02962	Ribosomal protein S17
Dmel_CG12314	zuc	K16862	zucchini
Dmel_CG9181	Ptp61F	K05696	Protein tyrosine phosphatase 61F 
Dmel_CG31795	IA-2	K07817	IA-2 ortholog 
Dmel_CG9187	Psf1	K10732	CG9187 gene product from transcript CG9187-RA
5588	Mtl	K04392	Mig-2-like
Dmel_CG12311	tw	K00728	Protein O-mannosyltransferase 2 
Dmel_CG6253	RpL14	K02875	Ribosomal protein L14
Dmel_CG18617	Vha100-2	K02154	Vacuolar H[+] ATPase 100kD subunit 2 
Dmel_CG9677	Int6	K03250	Int6 homologue
7754	iotaTry	K01312	iotaTrypsin 
7756	Hsc70-2	K03283	Heat shock protein cognate 2
Dmel_CG43934	Hr4	K09185	CG43934 gene product from transcript CG43934-RK
9242	bur	K01951	burgundy 
12141	Aats-lys	K04567	Lysyl-tRNA synthetase 
Dmel_CG3034	MED22	K15139	Mediator complex subunit 22
Dmel_CG10895	lok	K06641	loki 
3937	cher	K04437	cheerio
4212	Rab14	K07881	CG4212 gene product from transcript CG4212-RA
Dmel_CG9201	Grip128	K16572	CG9201 gene product from transcript CG9201-RB
Dmel_CR33428	5SrRNA:CR33428	K01981	5S ribosomal RNA
Dmel_CG10642	Klp64D	K10394	Kinesin-like protein at 64D
Dmel_CG10640	Uev1A	K10704	CG10640 gene product from transcript CG10640-RB 
Dmel_CG30372	Asap	K12488	ArfGAP with SH3 domain, ankyrin repeat and PH domain
6715	KP78a	K08798	CG6715 gene product from transcript CG6715-RB 
Dmel_CG5345	Eip55E	K01758	CG5345 gene product from transcript CG5345-RB 
Dmel_CG10648	Rbm13	K14831	RNA-binding motif protein 13
6711	Taf2	K03128	TBP-associated factor 2
9906	Cnx14D	K08054	Calnexin 14D
Dmel_CG1515	Ykt6	K08516	YKT6 ortholog (S. cerevisiae) 
Dmel_CG16928	mre11	K10865	meiotic recombination 11
12530	Cdc42	K04393	CG12530 gene product from transcript CG12530-RC
9901	Arp2	K17260	Actin-related protein 2
Dmel_CG11205	phr	K01669	photorepair 
6302	l(3)01239	K09549	lethal (3) 01239
Dmel_CG11207	feo	K16732	fascetto
Dmel_CG9768	hkb	K12379	huckebein
Dmel_CG11201	TTLL3B	K16608	Tubulin tyrosine ligase-like 3B
5692	raps	K15837	rapsynoid
Dmel_CG31956	pgant4	K00710	polypeptide GalNAc transferase 4 
Dmel_CG31481	pb	K09302	proboscipedia
Dmel_CG9078	ifc	K04712	infertile crescent 
1709	Vha100-1	K02154	Vacuolar H[+] ATPase 100kD subunit 1 
Dmel_CG2968	l(1)G0230	K02134	lethal (1) G0230 
Dmel_CG9075	eIF-4a	K03257	Eukaryotic initiation factor 4a 
Dmel_CG43067	FoxP	K09409	Forkhead box P
Dmel_CG43065	bru-2	K13207	bruno-2
Dmel_CG33193	sav	K16686	salvador
Dmel_CG8764	ox	K00419	oxen 
Dmel_CG2746	RpL19	K02885	Ribosomal protein L19
Dmel_CG8506	Rbsn-5	K12481	Rabenosyn-5
Dmel_CG2988	ems	K09317	empty spiracles
12186	Aats-pro	K01881	Prolyl-tRNA synthetase 
31860	ZnT33D	K14689	Zinc transporter 33D
Dmel_CG2980	thoc5	K13174	CG2980 gene product from transcript CG2980-RA
Dmel_CG2986	RpS21	K02971	Ribosomal protein S21
Dmel_CG2984	Pp2C1	K10147	Protein phosphatase 2C 
Dmel_CG5502	RpL4	K02930	Ribosomal protein L4
Dmel_CG4531	aos	K02104	argos
Dmel_CG5501	Myo95E	K10356	Myosin 95E 
Dmel_CG5504	l(2)tid	K09504	lethal (2) tumorous imaginal discs
Dmel_CG5505	scny	K11855	scrawny
Dmel_CG5508	mino	K00629	minotaur 
Dmel_CG32854	mRpS21	K02970	mitochondrial ribosomal protein S21
32704	Ir8a	K05313	Ionotropic receptor 8a
Dmel_CG4851	Ppt2	K01074	Palmitoyl-protein Thioesterase 2 
Dmel_CG5465	MED16	K15159	Mediator complex subunit 16
Dmel_CG10242	Cyp6a23	K14999	CG10242 gene product from transcript CG10242-RA 
Dmel_CG10243	Cyp6a19	K14999	CG10243 gene product from transcript CG10243-RB 
Dmel_CG10240	Cyp6a22	K14999	CG10240 gene product from transcript CG10240-RB 
Dmel_CG10241	Cyp6a17	K14999	Cytochrome P450-6a17 
Dmel_CG10246	Cyp6a9	K14999	Cytochrome P450-6a9 
Dmel_CG10247	Cyp6a21	K14999	CG10247 gene product from transcript CG10247-RA 
Dmel_CG10244	Cad96Ca	K08252	Cadherin 96Ca 
Dmel_CG10245	Cyp6a20	K14999	CG10245 gene product from transcript CG10245-RB 
Dmel_CG10798	dm	K04377	diminutive
Dmel_CG10248	Cyp6a8	K14999	Cytochrome P450-6a8 
Dmel_CG11840	Spp	K09595	Signal peptide peptidase 
4226	GluRIIC	K05313	Glutamate receptor IIC
Dmel_CG11661	Nc73EF	K00164	Neural conserved at 73EF 
Dmel_CG11660	RIOK1	K07178	RIO kinase 1 
3665	Fas2	K06491	Fasciclin 2
3664	Rab5	K07889	CG3664 gene product from transcript CG3664-RC
Dmel_CG32139	Sox21b	K09267	CG32139 gene product from transcript CG32139-RA
Dmel_CG17213	Gr33a	K08471	Gustatory receptor 33a
Dmel_CG17216	KP78b	K08286	CG17216 gene product from transcript CG17216-RB 
Dmel_CG2227	Gip	K01816	GIP-like 
Dmel_CG2183	Gasz	K18410	GASZ ortholog
Dmel_CG2185	elm	K17610	ethanol sensitive with low memory
Dmel_CG33083	Gr97a	K08471	Gustatory receptor 97a
13431	Mgat1	K00726	UDP-GlcNAc:a-3-D-mannoside-beta-1,2-N-acetylglucosaminyltransferase I 
Dmel_CG2189	Dfd	K09304	Deformed
4542	xit	K03849	xiantuan 
Dmel_CG33087	LRP1	K04550	LDL receptor protein 1
Dmel_CG4859	Mmp1	K07763	Matrix metalloproteinase 1 
42349	Pkcdelta	K06068	Protein kinase C delta 
Dmel_CG32717	sdt	K06091	stardust 
Dmel_CG15148	btv	K10414	beethoven 
Dmel_CR33359	5SrRNA:CR33359	K01981	5S ribosomal RNA
3478	ppk	K03440	pickpocket
Dmel_CG10423	RpS27	K02978	Ribosomal protein S27
42347	sqa	K00907	spaghetti-squash activator 
17302	Prosbeta4R2	K02734	Proteasome beta4 subunit-related 2 
2048	dco	K08960	discs overgrown 
17301	Prosbeta4R1	K02734	Proteasome beta4 subunit-related 1 
Dmel_CG3695	MED23	K15166	Mediator complex subunit 23
Dmel_CG1514	snz	K17887	snazarus
Dmel_CG1076	Vha14-2	K02151	Vacuolar H[+] ATPase 14kD subunit 2 
6335	Aats-his	K01892	Histidyl-tRNA synthetase 
9124	eIF-3p40	K03247	Eukaryotic initiation factor 3 p40 subunit
Dmel_CG14789	O-fut2	K03691	O-fucosyltransferase 2 
Dmel_CG14788	Ns3	K14539	Nucleostemin ortholog (H. sapiens) 3
Dmel_CG6363	MRG15	K11339	CG6363 gene product from transcript CG6363-RA
8231	Tcp-1zeta	K09498	T-cp1zeta 
2720	Hop	K09553	Hsp70/Hsp90 organizing protein homolog
Dmel_CG17320	ScpX	K08764	Sterol carrier protein X-related thiolase 
1873	Ef1alpha100E	K03231	Elongation factor 1alpha100E
Dmel_CG1982	Sodh-1	K00008	Sorbitol dehydrogenase 1 
Dmel_CG5102	da	K15603	daughterless
Dmel_CG1981	Thd1	K03649	CG1981 gene product from transcript CG1981-RC
4439	S-Lap8	K01255	Sperm-Leucylaminopeptidase 8 
12602	Vha100-5	K02154	Vacuolar H[+] ATPase 100kD subunit 5 
Dmel_CG9542	KFase	K01432	Kynurenine formamidase 
Dmel_CG8857	RpS11	K02949	Ribosomal protein S11
Dmel_CG6716	prd	K09381	paired
Dmel_CG32825	Or19b	K08471	Odorant receptor 19b
4943	lack	K04678	lethal with a checkpoint kinase 
Dmel_CG6081	Cyp28d2	K15005	CG6081 gene product from transcript CG6081-RA 
Dmel_CG5201	Dad	K04677	Daughters against dpp
Dmel_CG32133	ptip	K14972	CG32133 gene product from transcript CG32133-RA
Dmel_CG32134	btl	K05093	breathless 
Dmel_CG32135	Nxf3	K14284	Nuclear export factor 3
Dmel_CG8859	Cyp6g2	K14999	CG8859 gene product from transcript CG8859-RA 
Dmel_CR33355	5SrRNA:CR33355	K01981	5S ribosomal RNA
6042	Cyp12a4	K15004	CG6042 gene product from transcript CG6042-RA 
Dmel_CG6241	TAF1B	K15213	TATA box-binding protein-associated factor RNA polymerase I subunit B
Dmel_CG6715	KP78a	K08798	CG6715 gene product from transcript CG6715-RB 
Dmel_CG6713	Nos	K13253	Nitric oxide synthase 
Dmel_CG6711	Taf2	K03128	TBP-associated factor 2
2110	Cyp4ad1	K15001	CG2110 gene product from transcript CG2110-RA 
Dmel_CG6249	Csl4	K07573	CG6249 gene product from transcript CG6249-RA 
4323	Dic2	K13577	Dicarboxylate carrier 2
Dmel_CG6718	iPLA2-VIA	K16343	calcium-independent phospholipase A2 VIA 
Dmel_CG10335	Pbgs	K01698	Porphobilinogen synthase 
Dmel_CG7597	Cdk12	K08819	CG7597 gene product from transcript CG7597-RB 
Dmel_CG7595	ck	K10359	crinkled 
2621	sgg	K03083	shaggy 
14026	tkv	K13578	thickveins
Dmel_CG4453	Nup153	K14296	Nucleoporin 153kD
Dmel_CG3766	scat	K17600	scattered
Dmel_CG3762	Vha68-2	K02145	Vacuolar H[+] ATPase 68 kDa subunit 2 
Dmel_CG8938	GstS1	K00799	Glutathione S transferase S1 
Dmel_CG4451	Hs6st	K02514	Heparan sulfate 6-O-sulfotransferase 
7359	Sec22	K08517	Sec22 ortholog (S. cerevisiae)
Dmel_CG8936	Arpc3B	K05756	Actin-related protein 2/3 complex, subunit 3B
Dmel_CG8937	Hsc70-1	K03283	Heat shock protein cognate 1 
Dmel_CG8930	rk	K08399	rickets
Dmel_CG8933	exd	K09355	extradenticle
Dmel_CG17031	Ref2	K12881	RNA and export factor binding protein 2
33166	stet	K02857	stem cell tumor 
Dmel_CG17033	elgi	K11981	early girl 
Dmel_CG13787	Gr28a	K08471	Gustatory receptor 28a
33162	SrpRbeta	K12272	Signal recognition particle receptor beta
Dmel_CG33903	His4:CG33903	K11254	CG33903 gene product from transcript CG33903-RA
Dmel_CG18767	mRpL36	K02919	mitochondrial ribosomal protein L36
Dmel_CG1877	Cul1	K03347	Cullin 1
Dmel_CG13788	Gr28b	K08471	Gustatory receptor 28b
Dmel_CG1873	Ef1alpha100E	K03231	Elongation factor 1alpha100E
Dmel_CG14549	Sld5	K10735	CG14549 gene product from transcript CG14549-RA
Dmel_CG14548	E(spl)mbeta-HLH	K09090	Enhancer of split mbeta, helix-loop-helix
Dmel_CG3169	Spt3	K11313	CG3169 gene product from transcript CG3169-RA
Dmel_CG32042	PGRP-LA	K01446	Peptidoglycan recognition protein LA 
10498	cdc2c	K02206	CG10498 gene product from transcript CG10498-RC 
10497	Sdc	K16336	Syndecan
Dmel_CG18000	sw	K10415	short wing
Dmel_CG14235	CoVIb	K02267	Cytochrome c oxidase subunit VIb 
Dmel_CG3161	Vha16-1	K02155	Vacuolar H[+] ATPase 16kD subunit 1 
Dmel_CG3166	aop	K03211	anterior open
Dmel_CG6407	Wnt5	K00444	Wnt oncogene analog 5
Dmel_CG7825	Rad17	K06662	CG7825 gene product from transcript CG7825-RA
Dmel_CG12743	otu	K13718	ovarian tumor
Dmel_CG4005	yki	K16687	yorkie 
Dmel_CG3582	U2af38	K12836	U2 small nuclear riboprotein auxiliary factor 38
Dmel_CG1276	TfIIEbeta	K03137	Transcription factor IIEbeta
Dmel_CR32878	snRNA:U2:38ABb	K14277	small nuclear RNA U2 at 38ABb
Dmel_CG32664	Gr10a	K08471	Gustatory receptor 10a
Dmel_CG14437	COQ7	K06134	CG14437 gene product from transcript CG14437-RA
Dmel_CG31009	Cad99C	K16500	Cadherin 99C
33814	His2A:CG33814	K11251	CG33814 gene product from transcript CG33814-RA
Dmel_CG3340	Kr	K09231	Kruppel
Dmel_CG3615	Atg9	K17907	Autophagy-specific gene 9
Dmel_CG3616	Cyp9c1	K15003	Cytochrome P450-9c1 
33815	His3:CG33815	K11253	CG33815 gene product from transcript CG33815-RA
Dmel_CG31000	heph	K14948	hephaestus
Dmel_CG31003	gskt	K03083	gasket 
Dmel_CG31005	qless	K12504	CG31005 gene product from transcript CG31005-RA
Dmel_CG33908	His2B:CG33908	K11252	CG33908 gene product from transcript CG33908-RA
Dmel_CG31006	stops	K10339	slow termination of phototransduction
4254	tsr	K05765	twinstar
Dmel_CG8734	beta3GalTII	K00734	Galactosyltransferase II 
Dmel_CG12070	Sap-r	K12382	Saposin-related
Dmel_CG17148	Est-P	K01044	Esterase P 
Dmel_CG17149	Su(var)3-3	K11450	Suppressor of variegation 3-3 
Dmel_CG8730	drosha	K03685	CG8730 gene product from transcript CG8730-RA 
Dmel_CG17146	Adk1	K00939	Adenylate kinase-1 
Dmel_CG4802	Mtap	K00772	Methylthioadenosine phosphorylase ortholog 
Dmel_CG17143	thoc7	K13176	CG17143 gene product from transcript CG17143-RB
Dmel_CG32592	hiw	K10693	highwire 
33443	5SrRNA:CR33443	K01981	5S ribosomal RNA
Dmel_CG43726	qin	K18405	CG43726 gene product from transcript CG43726-RB 
Dmel_CG3298	JhI-1	K00784	Juvenile hormone-inducible protein 1 
Dmel_CG3299	Vinc	K05700	Vinculin
Dmel_CG6668	atl	K17339	atlastin
11875	Nup37	K14302	Nucleoporin 37kD
Dmel_CG6666	SdhC	K00236	Succinate dehydrogenase C 
Dmel_CG6667	dl	K09255	dorsal
Dmel_CG8589	tej	K18407	tejas
Dmel_CG6662	GstO1	K00799	Glutathione S transferase O1 
Dmel_CG3291	pcm	K12618	pacman 
33817	His2A:CG33817	K11251	CG33817 gene product from transcript CG33817-RA
Dmel_CG7138	r2d2	K18421	CG7138 gene product from transcript CG7138-RA
Dmel_CG33956	kay	K09031	kayak
Dmel_CG7134	cdc14	K06639	CG7134 gene product from transcript CG7134-RD 
Dmel_CG4247	mRpS10	K02946	mitochondrial ribosomal protein S10
Dmel_CG4244	Su(dx)	K05633	Suppressor of deltex 
Dmel_CG7913	PP2A-B'	K11584	CG7913 gene product from transcript CG7913-RK
Dmel_CG12244	lic	K04432	licorne 
Dmel_CG8598	eco	K11268	CG8598 gene product from transcript CG8598-RA 
Dmel_CG9862	Rae1	K14298	CG9862 gene product from transcript CG9862-RA
6868	tld	K13045	tolloid 
6869	FucTA	K00753	CG6869 gene product from transcript CG6869-RA 
Dmel_CG9867	Eogt	K18134	EGF-domain O-GlcNAc transferase 
Dmel_CG17446	Cfp1	K14960	CG17446 gene product from transcript CG17446-RB
Dmel_CG13418	RpI12	K03000	CG13418 gene product from transcript CG13418-RA 
Dmel_CG8593	qm	K00804	quemao 
Dmel_CG8590	Klp3A	K10395	Kinesin-like protein at 3A 
Dmel_CG7918	mAChR-B	K04134	muscarinic Acetylcholine Receptor, B-type
Dmel_CG6105	l(2)06225	K02140	lethal (2) 06225 
Dmel_CG8597	lark	K13187	CG8597 gene product from transcript CG8597-RD
3050	Cyp6d5	K14999	CG3050 gene product from transcript CG3050-RA 
6863	tok	K13046	tolkin 
Dmel_CG3445	phol	K09201	pleiohomeotic like
Dmel_CG8029	VhaAC45	K03662	Vacuolar H[+] ATPase AC45 accessory subunit 
5366	Cand1	K17263	Cullin-associated and neddylation-dissociated 1
Dmel_CG31173	Gr93c	K08471	Gustatory receptor 93c
Dmel_CG6964	Gug	K05628	Grunge 
Dmel_CG8023	eIF4E-3	K03259	eukaryotic translation initiation factor 4E-3
Dmel_CG42522	CSN8	K12181	COP9 complex homolog subunit 8
3524	v(2)k05816	K00665	CG3524 gene product from transcript CG3524-RB 
Dmel_CG8024	ltd	K07918	lightoid
Dmel_CG8025	Mtr3	K12587	CG8025 gene product from transcript CG8025-RA 
Dmel_CG3953	Invadolysin	K13539	CG3953 gene product from transcript CG3953-RA 
1683	Ant2	K05863	Adenine nucleotide translocase 2
Dmel_CG1725	dlg1	K12076	discs large 1 
Dmel_CG4934	brn	K02175	brainiac 
Dmel_CG1721	Pglym78	K01834	Phosphoglyceromutase
Dmel_CG4938	Aats-ser	K01875	Seryl-tRNA synthetase 
Dmel_CG10938	Prosalpha5	K02729	Proteasome alpha5 subunit 
Dmel_CG7622	RpL36	K02920	Ribosomal protein L36
Dmel_CG7625	VhaM9.7-b	K02153	Vacuolar H[+] ATPase M9.7 subunit b 
Dmel_CG32463	Tengl2	K01173	Testis EndoG-Like 2
Dmel_CG1728	Tim8	K17780	CG1728 gene product from transcript CG1728-RB 
Dmel_CG7626	Spt5	K15172	CG7626 gene product from transcript CG7626-RA
Dmel_CG8203	Cdk5	K02090	Cyclin-dependent kinase 5 
Dmel_CG8200	Flo1	K07192	Flotillin 1
Dmel_CG8201	par-1	K05960	CG8201 gene product from transcript CG8201-RV 
8251	Pgi	K01810	Phosphoglucose isomerase 
Dmel_CG6963	gish	K08958	gilgamesh 
Dmel_CG8205	fus	K14947	fusilli
Dmel_CG4026	IP3K1	K00911	Inositol 1,4,5-triphosphate kinase 1 
Dmel_CG4027	Act5C	K05692	Actin 5C
Dmel_CG1056	5-HT2A	K04157	5-hydroxytryptamine (serotonin) receptor 2A
Dmel_CG1057	MED31	K15153	Mediator complex subunit 31
Dmel_CR33413	5SrRNA:CR33413	K01981	5S ribosomal RNA
Dmel_CG14895	Pak3	K04409	CG14895 gene product from transcript CG14895-RD 
Dmel_CG8544	sd	K09448	scalloped
Dmel_CG7614	Mat1	K10842	Menage a trois 1 ortholog (H. sapiens) 
8789	wnd	K04422	wallenda 
33835	His2A:CG33835	K11251	CG33835 gene product from transcript CG33835-RA
Dmel_CG12019	Cdc37	K09554	CG12019 gene product from transcript CG12019-RA
Dmel_CG30191	Gr59b	K08471	Gustatory receptor 59b
33830	His3:CG33830	K11253	CG33830 gene product from transcript CG33830-RA
Dmel_CG17534	GstE9	K00799	Glutathione S transferase E9 
Dmel_CG17531	GstE7	K00799	Glutathione S transferase E7 
Dmel_CG17530	GstE6	K00799	Glutathione S transferase E6 
Dmel_CG12013	PHGPx	K00432	CG12013 gene product from transcript CG12013-RC 
33839	His3:CG33839	K11253	CG33839 gene product from transcript CG33839-RA
Dmel_CG33883	His4:CG33883	K11254	CG33883 gene product from transcript CG33883-RA
Dmel_CG3839	l(1)sc	K09067	lethal of scute
Dmel_CG33881	His4:CG33881	K11254	CG33881 gene product from transcript CG33881-RA
Dmel_CG5992	Adgf-A	K01488	Adenosine deaminase-related growth factor A 
Dmel_CG33887	His4:CG33887	K11254	CG33887 gene product from transcript CG33887-RA
Dmel_CG33886	His2B:CG33886	K11252	CG33886 gene product from transcript CG33886-RA
Dmel_CG33885	His4:CG33885	K11254	CG33885 gene product from transcript CG33885-RA
Dmel_CG7820	CAH1	K01672	Carbonic anhydrase 1 
Dmel_CG10930	PpY-55A	K01090	Protein phosphatase Y at 55A
Dmel_CG3832	Phm	K00504	Peptidylglycine-alpha-hydroxylating monooxygenase 
Dmel_CG33888	His2B:CG33888	K11252	CG33888 gene product from transcript CG33888-RA
Dmel_CG6658	Ugt86Di	K00699	CG6658 gene product from transcript CG6658-RB 
3127	Pgk	K00927	Phosphoglycerate kinase 
Dmel_CG1618	comt	K06027	comatose 
Dmel_CG9461	FBX011	K10297	FBX011 ortholog 
Dmel_CG42631	mtTFB1	K15266	Mitochondrial Transcription Factor B1 
Dmel_CG42632	mRpL37	K17418	mitochondrial ribosomal protein L37
Dmel_CG8440	Lis-1	K16794	Lissencephaly-1 
Dmel_CG9564	Try29F	K01312	Trypsin 29F 
1467	Syx16	K08489	Syntaxin 16
Dmel_CG8443	clu	K03255	clueless
Dmel_CG1616	dpa	K02212	disc proliferation abnormal
Dmel_CG8445	calypso	K08588	CG8445 gene product from transcript CG8445-RB
1462	Aph-4	K01077	Alkaline phosphatase 4 
Dmel_CG12785	Mat89Ba	K14544	Maternal transcript 89Ba
8430	Got1	K14454	Glutamate oxaloacetate transaminase 1 
8433	Ext2	K02367	CG8433 gene product from transcript CG8433-RB 
Dmel_CG9245	Pis	K00999	Phosphatidylinositol synthase 
Dmel_CG5972	Arpc4	K05755	Actin-related protein 2/3 complex, subunit 4
Dmel_CG5971	Cdc6	K02213	CG5971 gene product from transcript CG5971-RA
Dmel_CG5970	cbc	K14399	crowded by cid 
Dmel_CG9241	Mcm10	K10736	Minichromosome maintenance 10
Dmel_CG5976	isoQC	K00683	iso Glutaminyl cyclase 
Dmel_CG9032	sun	K02135	stunted 
Dmel_CG5974	pll	K04730	pelle 
Dmel_CG1472	Sec24AB	K14007	Sec24AB ortholog (H. sapiens)
Dmel_CG5198	holn1	K13099	hole-in-one
Dmel_CG1470	Gycbeta100B	K12319	Guanylyl cyclase beta-subunit at 100B 
Dmel_CG32685	ZAP3	K17602	CG32685 gene product from transcript CG32685-RC
Dmel_CG3109	mRpL16	K02878	mitochondrial ribosomal protein L16
Dmel_CG1474	Es2	K13118	CG1474 gene product from transcript CG1474-RA 
Dmel_CG1475	RpL13A	K02872	Ribosomal protein L13A
Dmel_CG18211	betaTry	K01312	betaTrypsin 
Dmel_CG11989	vnc	K00670	variable nurse cells 
Dmel_CG5193	TfIIB	K03124	Transcription factor IIB
Dmel_CG5192	Rh6	K04255	Rhodopsin 6
Dmel_CG18743	Hsp70Ab	K03283	Heat-shock-protein-70Ab
Dmel_CG18214	trio	K08810	CG18214 gene product from transcript CG18214-RA
Dmel_CG17035	GXIVsPLA2	K01047	CG17035 gene product from transcript CG17035-RD 
10506	Aats-gln	K01886	Glutaminyl-tRNA synthetase 
Dmel_CG9648	Max	K04453	CG9648 gene product from transcript CG9648-RD
Dmel_CG1180	LysE	K01185	Lysozyme E 
Dmel_CG11471	Aats-ile	K01870	Isoleucyl-tRNA synthetase 
Dmel_CG14941	esc	K11462	extra sexcombs 
5594	kcc	K14427	kazachoc
Dmel_CG31762	aret	K02177	arrest
Dmel_CG31811	CenG1A	K12491	Centaurin gamma 1A
Dmel_CG12653	btd	K09200	buttonhead
Dmel_CG6058	Ald	K01623	Aldolase 
Dmel_CG12306	polo	K06631	CG12306 gene product from transcript CG12306-RA 
Dmel_CG9888	Fib	K14563	Fibrillarin 
Dmel_CG13363	Hmt4-20	K11429	Histone methyltransferase 4-20
