Rv2763c	dfrA	K00287	dihydrofolate reductase
Rv2029c	pfkB	K16370	6-phosphofructokinase PfkB
Rv1014c	pth	K01056	peptidyl-tRNA hydrolase
Rv1447c	zwf2	K00036	glucose-6-phosphate 1-dehydrogenase
Rv0764c	cyp51	K05917	lanosterol 14-alpha demethylase
Rv1238	sugC	K10112	sugar ABC transporter ATP-binding protein SugC
Rv0663	atsD	K01130	arylsulfatase AtsD
Rv0551c	fadD8	K00666	fatty-acid--CoA ligase FadD8
Rvnt14	argT	K14219	tRNA-Arg
Rv2572c	aspS	K01876	aspartate--tRNA ligase
Rv2505c	fadD35	K00666	fatty-acid--CoA ligase FadD35
Rv1079	metB	K01739	cystathionine gamma-synthase
Rv3323c	moaX	K03635	MoaD-MoaE fusion protein MoaX
Rv3711c	dnaQ	K02342	DNA polymerase III subunit epsilon
Rv0655	mkl	K02065	ribonucleotide ABC transporter ATP-binding protein
Rvns01	rnpB	K01978	Ribonuclease P RNA
Rv1826	gcvH	K02437	glycine cleavage system protein H
Rv2726c	dapF	K01778	diaminopimelate epimerase
Rv2920c	amt	K03320	ammonium transporter integral membrane protein
Rv1822	pgsA2	K00995	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
Rv1821	secA2	K03070	protein translocase subunit SecA
Rv1820	ilvG	K01652	acetolactate synthase large subunit IlvG
Rv3409c	choD	K03333	cholesterol oxidase
Rv2587c	secD	K03072	protein translocase subunit SecD
Rv2150c	ftsZ	K03531	cell division protein FtsZ
Rv1328	glgP	K00688	glycogen phosphorylase
Rv1389	gmk	K00942	guanylate kinase
Rv0701	rplC	K02906	50S ribosomal protein L3
Rv1905c	aao	K00273	D-amino acid oxidase
Rv1384	carB	K01955	carbamoyl-phosphate synthase large subunit
Rv0070c	glyA2	K00600	serine hydroxymethyltransferase
Rv0705	rpsS	K02965	30S ribosomal protein S19
Rv1383	carA	K01956	carbamoyl-phosphate synthase small subunit
Rv1885c	*MtCM	K04093	chorismate mutase
Rv1381	pyrC	K01465	dihydroorotase
Rv2130c	mshC	K15526	cysteine:1D-myo-inosityl 2-amino-2-deoxy--D-glucopyranoside ligase
Rv0016c	pbpA	K05364	penicillin-binding protein PbpA
Rv1596	nadC	K00767	nicotinate-nucleotide pyrophosphatase
Rv0643c	mmaA3	K00574	methoxy mycolic acid synthase MmaA3
Rv2291	sseB	K01011	thiosulfate sulfurtransferase SseB
Rv3806c	ubiA	K14136	decaprenyl-phosphate phosphoribosyltransferase
Rv3842c	glpQ1	K01126	glycerophosphoryl diester phosphodiesterase
Rv3545c	cyp125	K15981	steroid C26-monooxygenase
Rv0414c	thiE	K00788	thiamine-phosphate synthase
Rv2193	ctaE	K02276	cytochrome C oxidase subunit III
Rvnt40	proY	K14232	tRNA-Pro
Rv2388c	hemN	K02495	oxygen-independent coproporphyrinogen III oxidase
Rv2196	qcrB	K03891	ubiquinol-cytochrome C reductase cytochrome subunit B
Rv1750c	fadD1	K00666	fatty-acid--CoA ligase FadD1
Rv2194	qcrC	K03889	ubiquinol-cytochrome C reductase cytochrome subunit C
Rv1925	fadD31	K00666	fatty-acid--CoA ligase FadD31
Rv2094c	tatA	K03116	Sec-independent protein translocase membrane-bound protein TatA
Rv1163	narJ	K00373	nitrate reductase subunit delta
Rv0634B	rpmG2	K02913	50S ribosomal protein L33
Rv2925c	rnc	K03685	ribonuclease III
Rv3663c	dppD	K02031	dipeptide ABC transporter ATP-binding protein DppD
Rv2201	asnB	K01953	asparagine synthetase
Rv2207	cobT	K00768	nicotinate-nucleotide-dimethylbenzimidazol phosphoribosyltransferase
Rv2442c	rplU	K02888	50S ribosomal protein L21
Rv2911	dacB2	K07258	penicillin-binding protein DacB2
Rv2208	cobS	K02233	cobalamin synthase
Rv1208	gpgS	K13693	glucosyl-3-phosphoglycerate synthase
Rv2838c	rbfA	K02834	ribosome-binding factor RbfA
Rv3138	pflA	K04069	pyruvate formate lyase activating protein PflA
Rv2882c	frr	K02838	ribosome recycling factor
Rv2173	idsA2	K13787	geranylgeranyl pyrophosphate synthetase IdsA
Rv0419	lpqM	K01269	lipoprotein peptidase LpqM
Rv0542c	menE	K01911	2-succinylbenzoic acid--CoA ligase
Rv0751c	mmsB	K00020	3-hydroxyisobutyrate dehydrogenase
Rv0602c	tcrA	K02483	two component DNA binding transcriptional regulator TcrA
Rv2174	mptA	K14337	alpha(1->6)-mannopyranosyltransferase A
Rv0639	nusG	K02601	transcription termination/antitermination protein NusG
Rv0638	secE1	K03073	preprotein translocase SecE
Rv2363	amiA2	K01426	amidase
Rv3914	trxC	K03671	thioredoxin TrxC
Rv2428	ahpC	K03386	alkyl hydroperoxide reductase subunit C
Rv2498c	citE	K01644	citrate (pro-3S)-lyase subunit beta
Rv3911	sigM	K03088	ECF RNA polymerase sigma factor SigM
Rv2764c	thyA	K00560	thymidylate synthase ThyA
Rv3913	trxB2	K00384	thioredoxin reductase
Rv2582	ppiB	K03768	peptidyl-prolyl cis-trans isomerase B
Rv0934	pstS1	K02040	phosphate ABC transporter substrate-binding lipoprotein PstS
Rv1449c	tkt	K00615	transketolase
Rv2589	gabT	K07250	4-aminobutyrate aminotransferase
Rv3498c	mce4B	K02067	Mce family protein Mce4B
Rv0456c	echA2	K01692	enoyl-CoA hydratase EchA2
Rv3535c	hsaG	K04073	acetaldehyde dehydrogenase
Rv3198c	uvrD2	K03657	ATP-dependent DNA helicase UvrD
Rv1621c	cydD	K16013	cytochrome biosyntheisis ABC transporter ATP-binding protein/permease CydD
Rv0659c	mazF2	K07171	toxin MazF2
Rv0866	moaE2	K03635	molybdopterin synthase catalytic subunit 2
Rv1643	rplT	K02887	50S ribosomal protein L20
Rv0824c	desA1	K03921	acyl-ACP desaturase DesA
Rv1964	yrbE3A	K02066	integral membrane protein
Rv0710	rpsQ	K02961	30S ribosomal protein S17
Rv3793	embC	K11387	arabinosyltransferase C
Rv3255c	manA	K01809	mannose-6-phosphate isomerase
Rv3546	fadA5	K00626	acetyl-CoA acetyltransferase FadA
Rv3924c	rpmH	K02914	50S ribosomal protein L34
Rv1644	tsnR	K03437	23S rRNA methyltransferase TsnR
Rv0222	echA1	K01692	enoyl-CoA hydratase EchA1
Rv0436c	pssA	K17103	CDP-diacylglycerol--serine O-phosphatidyltransferase
Rv1641	infC	K02520	initiation factor IF-3
Rv2045c	lipT	K03929	carboxylesterase LipT
Rv3227	aroA	K00800	3-phosphoshikimate 1-carboxyvinyltransferase
Rv0899	arfA	K16191	peptidoglycan-binding protein ArfA
Rv2586c	secF	K03074	protein translocase subunit SecF
Rv3315c	cdd	K01489	cytidine deaminase
Rv1935c	echA13	K01692	enoyl-CoA hydratase EchA13
Rv1649	pheS	K01889	phenylalanine--tRNA ligase subunit alpha
Rv2965c	kdtB	K00954	phosphopantetheine adenylyltransferase
Rv2748c	ftsK	K03466	DNA translocase FtsK
Rv1965	yrbE3B	K02066	integral membrane protein
Rv3117	cysA3	K01011	thiosulfate sulfurtransferase
Rv3339c	icd1	K00031	isocitrate dehydrogenase
Rv2511	orn	K13288	oligoribonuclease
Rv3588c	canB	K01673	carbonic anhydrase
Rv0683	rpsG	K02992	30S ribosomal protein S7
Rv1127c	ppdK	K01006	pyruvate, phosphate dikinase PpdK
Rv2754c	thyX	K03465	thymidylate synthase ThyX
Rv3039c	echA17	K01692	enoyl-CoA hydratase EchA17
Rv2845c	proS	K01881	proline--tRNA ligase
Rvnt12	aspT	K14221	tRNA-Asp
Rv0651	rplJ	K02864	50S ribosomal protein L10
Rv3609c	folE	K01495	GTP cyclohydrolase I
Rv0685	tuf	K02358	elongation factor Tu
Rv0855	far	K01796	fatty-acid-CoA racemase
Rv3859c	gltB	K00265	glutamate synthase large subunit
Rv0564c	gpdA1	K00057	glycerol-3-phosphate dehydrogenase
Rv3102c	ftsE	K09812	cell division ATP-binding protein FtsE
Rv3417c	groEL1	K04077	chaperonin GroEL
Rv2987c	leuD	K01704	3-isopropylmalate dehydratase small subunit
Rv3696c	glpK	K00864	glycerol kinase
Rv3045	adhC	K13979	NADP-dependent alcohol dehydrogenase
Rv1028c	kdpD	K07646	sensor protein KdpD
Rv1589	bioB	K01012	biotin synthetase
Rv1420	uvrC	K03703	excinuclease ABC subunit UvrC
Rv0524	hemL	K01845	glutamate-1-semialdehyde 2,1-aminomutase
Rv0527	ccdA	K06196	cytochrome C-type biogenesis protein CcdA
Rv2870c	dxr	K00099	1-deoxy-D-xylulose 5-phosphate reductoisomerase
Rv3459c	rpsK	K02948	30S ribosomal protein S11
Rv3009c	gatB	K02434	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
Rv2400c	subI	K02048	sulfate ABC transporter substrate-binding lipoprotein SubI
Rv2977c	thiL	K00946	thiamine-monophosphate kinase
Rv2947c	pks15	K12430	polyketide synthase
Rv2922c	smc	K03529	chromosome partition protein Smc
Rv1536	ileS	K01870	isoleucine--tRNA ligase
Rv2747	argA	K00619	L-glutamate alpha-N-acetyltranferase
RVnc0006	C8	K01983	Possible 4.5S RNA in signal recognition particle (small cytoplasmic RNA) (SC-RNA)
Rv1030	kdpB	K01547	potassium-transporting ATPase subunit B
Rv1031	kdpC	K01548	potassium-transporting ATPase subunit C
Rv0684	fusA1	K02355	elongation factor G
Rv3625c	mesJ	K04075	tRNA(Ile)-lysidine synthase
Rv0392c	ndhA	K03885	NADH dehydrogenase NdhA
Rv1210	tagA	K01246	DNA-3-methyladenine glycosylase I TagA
Rv0703	rplW	K02892	50S ribosomal protein L23
Rv3397c	phyA	K02291	phytoene synthase
Rv1213	glgC	K00975	glucose-1-phosphate adenylyltransferase
Rv2383c	mbtB	K04788	phenyloxazoline synthase
Rv1350	fabG2	K00059	3-oxoacyl-ACP reductase FabG
Rv0153c	ptbB	K01104	phosphotyrosine protein phosphatase
Rv1862	adhA	K13953	alcohol dehydrogenase A
Rv2211c	gcvT	K00605	aminomethyltransferase
Rv2447c	folC	K11754	folylpolyglutamate synthase FolC
Rv2531c	adi	K01584	amino acid decarboxylase
Rv0702	rplD	K02926	50S ribosomal protein L4
Rv0352	dnaJ1	K03686	chaperone protein DnaJ
Rv0353	hspR	K13640	heat shock protein transcriptional repressor HspR
Rv0350	dnaK	K04043	chaperone protein DnaK
Rv0351	grpE	K03687	protein GrpE
Rvnt39	thrU	K14234	tRNA-Thr
Rvnt38	metU	K14230	tRNA-Met
Rv3765c	tcrX	K02483	two component transcriptional regulator TcrX
Rv3715c	recR	K06187	recombination protein RecR
Rvnt34	valU	K14237	tRNA-Val
Rv0291	mycP3	K14743	membrane-anchored mycosin MycP
Rvnt36	glnU	K14223	tRNA-Gln
Rvnt31	valT	K14237	tRNA-Val
Rv3526	kshA	K15982	3-ketosteroid-9-alpha-hydroxylase oxygenase subunit
Rv1074c	fadA3	K00626	beta-ketoacyl CoA thiolase FadA
Rvnt32	glyT	K14225	tRNA-Gly
Rv0594	mce2F	K02067	Mce family protein Mce2F
Rv1966	mce3A	K02067	Mce family protein Mce3A
Rv0591	mce2C	K02067	Mce family protein Mce2C
Rv0592	mce2D	K02067	Mce family protein Mce2D
Rv0722	rpmD	K02907	50S ribosomal protein L30
Rv2154c	ftsW	K03588	lipid II flippase FtsW
Rv3801c	fadD32	K12428	long-chain-fatty-acid--AMP ligase FadD32
Rv0982	mprB	K07653	two component histidine-protein kinase/phosphatase MprB
Rv0981	mprA	K07669	two-component response regulator MrpA
Rv2964	purU	K01433	formyltetrahydrofolate deformylase
Rv3470c	ilvB2	K01652	acetolactate synthase large subunit
Rv0270	fadD2	K00666	fatty-acid--CoA ligase FadD2
Rv1876	bfrA	K03594	bacterioferritin BfrA
Rv0172	mce1D	K02067	Mce family protein Mce1D
Rv3495c	lprN	K02067	Mce family lipoprotein LprN
Rv1108c	xseA	K03601	exodeoxyribonuclease VII large subunit
Rv0171	mce1C	K02067	Mce family protein Mce1C
Rv0174	mce1F	K02067	Mce family protein Mce1F
Rvnt05	tyrT	K14236	tRNA-Tyr
Rv2419c	gpgP	K15634	glucosyl-3-phosphoglycerate phosphatase
Rv0410c	pknG	K14949	serine/threonine-protein kinase PknG
Rv3500c	yrbE4B	K02066	integral membrane protein
Rv0445c	sigK	K03088	ECF RNA polymerase sigma factor SigK
Rv3571	kshB	K15983	3-ketosteroid-9-alpha-hydroxylase reductase subunit
Rv1984c	cfp21	K08095	cutinase
Rv0975c	fadE13	K00249	acyl-CoA dehydrogenase FadE13
Rv0189c	ilvD	K01687	dihydroxy-acid dehydratase
Rv2890c	rpsB	K02967	30S ribosomal protein S2
Rv0186	bglS	K05349	beta-glucosidase BglS
Rv3170	aofH	K00274	flavin-containing monoamine oxidase
Rv3607c	folB	K01633	dihydroneopterin aldolase
Rv0469	umaA	K00574	mycolic acid synthase UmaA
Rv3567c	hsaB	K16048	flavin-dependent monooxygenase reductase subunit HsaB
Rv3302c	glpD2	K00111	glycerol-3-phosphate dehydrogenase
Rv0772	purD	K01945	phosphoribosylamine--glycine ligase
Rv1110	lytB2	K03527	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
Rv2048c	pks12	K12436	polyketide synthase
Rv0861c	ercc3	K10843	DNA helicase Ercc3
Rv1175c	fadH	K00219	NADPH dependent 2,4-dienoyl-CoA reductase FadH
Rv0777	purB	K01756	adenylosuccinate lyase PurB
Rv0670	end	K01151	endonuclease IV
Rv0673	echA4	K01692	enoyl-CoA hydratase EchA4
Rv2483c	plsC	K15781	bifunctional L-3-phosphoserine phosphatase/1-acyl-sn-glycerol-3-phosphate acyltransferase
Rv0675	echA5	K01692	enoyl-CoA hydratase EchA5
Rv3043c	ctaD	K02274	cytochrome C oxidase cytochrome 1
Rv0006	gyrA	K02469	DNA gyrase subunit A
Rv0005	gyrB	K02470	DNA gyrase subunit B
Rv0002	dnaN	K02338	DNA polymerase III subunit beta
Rv0003	recF	K03629	DNA replication/repair protein RecF
Rv3457c	rpoA	K03040	DNA-directed RNA polymerase subunit alpha
Rv3314c	deoA	K00758	thymidine phosphorylase
Rv0267	narU	K02575	nitrite extrusion protein NarU
Rv0413	mutT3	K03574	8-oxo-dGTP diphosphatase
Rv0118c	oxcA	K01577	oxalyl-CoA decarboxylase OxcA
Rv0009	ppiA	K03767	iron-regulated peptidyl-prolyl cis-trans isomerase PpiA
Rv3262	fbiB	K12234	coenzyme F420:L-glutamate ligase
Rv3261	fbiA	K11212	2-phospho-L-lactate transferase
Rv3398c	idsA1	K13787	multifunctional dimethylallyltransferase/geranyltranstransferase/farnesylt ranstransferase
Rv0724	sppA	K04773	protease IV SppA
Rv0573c	pncB2	K00763	nicotinic acid phosphoribosyltransferase PncB2
Rv1102c	mazF3	K07171	mRNA interferase MazF3
Rv2351c	plcA	K01114	membrane-associated phospholipase A
Rv3245c	mtrB	K07654	two component sensory histidine kinase MtrB
Rv0056	rplI	K02939	50S ribosomal protein L9
Rv3132c	devS	K07682	two component sensor histidine kinase DevS
Rv1562c	treZ	K01236	malto-oligosyltrehalose trehalohydrolase
Rvnt28	argW	K14219	tRNA-Arg
Rv3465	rmlC	K01790	dTDP-4-dehydrorhamnose 3,5-epimerase
Rv3464	rmlB	K01710	dTDP-glucose 4,6-dehydratase
Rv1609	trpE	K01657	anthranilate synthase component I
Rv2496c	bkdB	K00162	branched-chain keto acid dehydrogenase E1 component subunit beta
Rv1603	hisA	K01814	phosphoribosyl isomerase A
Rv1294	thrA	K00003	homoserine dehydrogenase
Rv1601	hisB	K01693	imidazole glycerol-phosphate dehydratase
Rv1600	hisC1	K00817	histidinol-phosphate aminotransferase
Rv3506	fadD17	K00666	long-chain-fatty-acid--CoA ligase FadD17
Rv1606	hisI	K01496	phosphoribosyl-AMP cyclohydrolase
Rv1605	hisF	K02500	imidazole glycerol phosphate synthase subunit HisF
Rv1604	impA	K01092	inositol-monophosphatase ImpA
Rv2394	ggtB	K00681	gamma-glutamyltranspeptidase precursor GgtB
Rv0820	phoT	K02036	phosphate ABC transporter ATP-binding protein PhoT
Rv0788	purQ	K01952	phosphoribosylformylglycinamidine synthase
Rv2259	mscR	K00153	S-nitrosomycothiol reductase MscR
Rv2391	sirA	K00392	sulfite reductase
Rv2439c	proB	K00931	glutamate 5-kinase protein
Rv3305c	amiA1	K01436	N-acyl-L-amino acid amidohydrolase AmiA
Rv3757c	proW	K05846	glycine betaine/carnitine/choline/L-proline ABC transporter permease ProW
Rv1297	rho	K03628	transcription termination factor Rho
Rv3411c	guaB2	K00088	inosine-5'-monophosphate dehydrogenase
Rvnt29	hisT	K14226	tRNA-His
Rv2835c	ugpA	K05814	sn-glycerol-3-phosphate ABC transporter permease UgpA
Rv3501c	yrbE4A	K02066	integral membrane protein
Rv1133c	metE	K00549	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
Rv0254c	cobU	K02231	bifunctional cobinamide kinase/cobinamide phosphate guanylyltransferase
Rv2471	aglA	K01187	alpha-glucosidase AglA
Rv0682	rpsL	K02950	30S ribosomal protein S12
Rv2043c	pncA	K08281	pyrazinamidase/nicotinamidase PncA
Rv3109	moaA1	K03639	cyclic pyranopterin monophosphate synthase 1
Rv1123c	bpoB	K00435	peroxidase BpoB
Rv0924c	mntH	K03322	divalent metal cationtransporter MntH
Rv0162c	adhE1	K00001	zinc-type alcohol dehydrogenase subunit E
Rv2202c	adoK	K00856	adenosine kinase
Rv2504c	scoA	K01028	succinyl-CoA:3-ketoacid-CoA transferase subunit A
Rv0956	purN	K11175	phosphoribosylglycinamide formyltransferase PurN
Rv0462	lpdC	K00382	dihydrolipoamide dehydrogenase
Rv0951	sucC	K01903	succinyl-CoA ligase subunit beta
Rv0952	sucD	K01902	succinyl-CoA ligase subunit alpha
Rv2673	aftC	K16647	alpha-(1->3)-arabinofuranosyltransferase
Rv3214	gpm2	K15634	phosphoglycerate mutase
Rv3215	entC	K02361	isochorismate synthase
Rv2460c	clpP2	K01358	ATP-dependent CLP protease proteolytic subunit 2
Rv1071c	echA9	K01692	enoyl-CoA hydratase EchA9
Rv2780	ald	K00259	L-alanine dehydrogenase
Rv2919c	glnB	K04751	nitrogen regulatory protein P-II
Rv1077	cbs	K01697	cystathionine beta-synthase
Rv0957	purH	K00602	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/inosinemonophosphate cyclohydrolase
Rv2788	sirR	K03709	transcriptional repressor SirR
Rv1029	kdpA	K01546	potassium-transporting ATPase subunit A
Rv2973c	recG	K03655	ATP-dependent DNA helicase RecG
Rv2378c	mbtG	K04793	L-lysine N6-monooxygenase
Rv2176	pknL	K08884	serine/threonine-protein kinase PknL
Rv2151c	ftsQ	K03589	cell division protein FtsQ
Rv3469c	mhpE	K01666	4-hydroxy-2-oxovalerate aldolase MhpE
Rv3044	fecB	K02016	FeIII-dicitrate-binding periplasmic lipoprotein
Rvnt41	serV	K14233	tRNA-Ser
Rv2386c	mbtI	K04781	salicylate synthase
Rv3805c	aftB	K13687	terminal beta-(1->2)-arabinofuranosyltransferase
Rv2607	pdxH	K00275	pyridoxine/pyridoxamine 5'-phosphate oxidase
Rv1094	desA2	K03922	acyl-ACP desaturase DesA
Rv1093	glyA1	K00600	serine hydroxymethyltransferase
Rv1159	pimE	K13669	polyprenol-phosphate-mannose-dependent alpha-(1-2)-phosphatidylinositol pentamannoside mannosyltransferase
Rv2601	speE	K00797	spermidine synthase
Rv2883c	pyrH	K09903	uridylate kinase
Rv2158c	murE	K01928	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase
Rv1298	rpmE	K02909	50S ribosomal protein L31
Rv0337c	aspC	K14260	aspartate aminotransferase
Rv0780	purC	K01923	phosphoribosylaminoimidazole-succinocarboxamide synthase
Rv2093c	tatC	K03118	Sec-independent protein translocase transmembrane protein TatC
Rv0522	gabP	K11735	GABA permease GabP
Rv3324c	moaC3	K03637	cyclic pyranopterin monophosphate synthase accessory protein
Rv2855	mtr	K17883	mycothione reductase
Rv1967	mce3B	K02067	Mce family protein Mce3B
Rv1704c	cycA	K11737	D-serine/alanine/glycine transporter protein CycA
Rv0317c	glpQ2	K01126	glycerophosphoryl diester phosphodiesterase GlpQ
Rv2537c	aroD	K03786	3-dehydroquinate dehydratase
RVnc0046	ssr	K15035	10Sa RNA
Rv0416	thiS	K03154	sulfur carrier protein ThiS
Rv1553	frdB	K00245	fumarate reductase iron-sulfur subunit
Rv1552	frdA	K00244	fumarate reductase flavoprotein subunit
Rv1551	plsB1	K00631	acyltransferase PlsB
Rv1512	epiA	K02377	nucleotide-sugar epimerase EpiA
Rv0415	thiO	K03153	thiamine biosynthesis oxidoreductase ThiO
Rv2236c	cobD	K02227	cobalamin biosynthesis transmembrane protein CobD
Rv1555	frdD	K00247	fumarate reductase membrane anchor subunit
Rv1554	frdC	K00246	fumarate reductase membrane anchor subunit
Rv3375	amiD	K01426	amidase
Rv1559	ilvA	K01754	threonine dehydratase IlvA
Rv3808c	glfT2	K16650	galactofuranosyl transferase GlfT
Rv0120c	fusA2	K02355	elongation factor G
Rv3373	echA18	K01692	enoyl-CoA hydratase
Rv3372	otsB2	K01087	trehalose 6-phosphate phosphatase
Rv0558	menH	K03183	demethylmenaquinone methyltransferase
Rv2671	ribD	K00082	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase
Rv2678c	hemE	K01599	uroporphyrinogen decarboxylase
Rv2299c	htpG	K04079	chaperone protein HtpG
Rv2674	msrB	K07305	peptide methionine sulfoxide reductase MsrB
Rv1412	ribC	K00793	riboflavin synthase
Rv2679	echA15	K01692	enoyl-CoA hydratase EchA15
Rv1415	ribA2	K14652	bifunctional riboflavin biosynthesis GTP cyclohydrolase II/3,4-dihydroxy-2-butanone 4-phosphate synthase
Rv1416	ribH	K00794	6,7-dimethyl-8-ribityllumazine synthase
Rv0555	menD	K02551	bifunctional 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase/2-oxoglutarate decarboxylase
Rv2399c	cysT	K02046	sulfate ABC transporter permease CysT
