AT3G50670	U1-70K	K11093	U1 small nuclear ribonucleoprotein-70K
AT2G21410	VHA-A2	K02154	vacuolar proton ATPase A2
AT5G19600	SULTR3;5	K17471	sulfate transporter 3;5
AT3G52840	BGAL2	K12309	beta-galactosidase 2
AT3G12280	RBR1	K04681	Retinoblastoma-related protein 1
AT1G04080	PRP39	K13217	pre-mRNA-processing factor 39
AT5G43840	HSFA6A	K09419	heat stress transcription factor A-6a
AT5G42820	U2AF35B	K12836	Splicing factor U2af small subunit B
AT4G04710	CPK22	K13412	calcium-dependent protein kinase 22
AT5G45930	CHLI2	K03405	magnesium chelatase subunit I2
AT2G27760	IPT2	K00791	tRNA isopentenyltransferase 2
AT5G23580	CDPK9	K13412	calcium-dependent protein kinase 12
AT2G45640	SAP18	K14324	histone deacetylase complex subunit SAP18
AT2G41560	ACA4	K01537	autoinhibited Ca(2+)-ATPase 4
AT2G45310	GAE4	K08679	UDP-D-glucuronate 4-epimerase 4
AT4G13890	EDA36	K00600	serine hydroxymethyltransferase 5
AT5G59890	ADF4	K05765	actin depolymerizing factor 4
AT4G24650	IPT4	K10760	adenylate isopentenyltransferase 4
AT2G13790	SERK4	K13417	somatic embryogenesis receptor kinase 4
AT5G14640	SK13	K03083	Shaggy-related protein kinase 13
AT1G59670	GSTU15	K00799	glutathione S-transferase TAU 15
AT3G18630	UNG	K03648	uracil DNA glycosylase
AT2G17250	EMB2762	K14771	protein NUCLEOLAR COMPLEX ASSOCIATED 4
AT4G34870	ROC5	K01802	rotamase cyclophilin 5
AT5G19280	KAPP	K01090	kinase associated protein phosphatase
AT1G10130	ECA3	K01537	calcium-transporting ATPase 3, ER-type
AT3G09900	RABE1e	K07901	RAB GTPase-like protein E1E
AT3G13730	CYP90D1	K12638	3-epi-6-deoxocathasterone 23-monooxygenase
AT1G20850	XCP2	K16290	xylem cysteine proteinase 2
AT4G38880	ASE3	K00764	amidophosphoribosyltransferase 3
AT4G34650	SQS2	K00801	squalene synthase 2
AT5G37370	ATSRL1	K12850	putative splicing factor ATSRL1
AT1G35440	CYCT1;1	K15188	cyclin T1-1
AT3G19160	IPT8	K10760	adenylate isopentenyltransferase 8
AT1G60810	ACLA-2	K01648	ATP-citrate lyase A-2
AT5G06160	ATO	K12827	protein ATROPOS
AT1G01340	CNGC10	K05391	cyclic nucleotide gated channel 10
AT1G70660	MMZ2	K10704	ubiquitin-conjugating enzyme E2 variant 1B
AT5G43780	APS4	K13811	sulfate adenylyltransferase
AT3G09520	EXO70H4	K07195	exocyst subunit exo70 family protein H4
AT5G37680	ARLA1A	K07955	ADP-ribosylation factor-like A1A
AT2G31320	PARP1	K10798	poly [ADP-ribose] polymerase 2
AT5G20920	EIF2_BETA	K03238	translation initiation factor eIF-2 beta subunit
AT5G38970	BR6OX1	K09590	brassinosteroid-6-oxidase 1
AT4G04620	ATG8B	K08341	autophagy-related protein 8b
AT2G21450	CHR34	K10875	chromatin remodeling 34
AT3G59960	ASHH4	K11423	histone-lysine N-methyltransferase ASHH4
AT1G60490	VPS34	K00914	phosphatidylinositol 3-kinase VPS34
AT5G41360	XPB2	K10843	DNA repair helicase XPB2
AT1G14320	SAC52	K02866	60S ribosomal protein L10-1
AT1G10170	NFXL1	K12236	NF-X1-type zinc finger protein NFXL1
AT2G27600	SKD1	K12196	suppressor of K+ transport growth defect 1 protein
AT5G14760	AO	K00278	L-aspartate oxidase
AT5G07920	DGK1	K00901	diacylglycerol kinase1
AT2G29470	GSTU3	K00799	glutathione S-transferase tau 3
AT4G11820	MVA1	K01641	Hydroxymethylglutaryl-CoA synthase
AT3G16380	PAB6	K13126	poly(A) binding protein 6
AT2G26640	KCS11	K15397	3-ketoacyl-CoA synthase 11
AT2G38310	PYL4	K14496	abscisic acid receptor PYL4
AT2G14670	SUC8	K15378	sucrose transport protein SUC8
AT3G48100	RR5	K14492	two-component response regulator ARR5
AT3G28030	UVH3	K10846	DNA repair protein UVH3
AT1G21410	SKP2A	K03875	F-box protein SKP2A
AT1G08560	SYP111	K08486	syntaxin-related protein KNOLLE
AT3G44110	ATJ3	K09503	chaperone protein dnaJ 3
AT2G26950	MYB104	K09422	myb domain protein 104
AT1G04860	UBP2	K11844	ubiquitin-specific protease 2
AT3G19760	EIF4A-III	K13025	DEAD-box ATP-dependent RNA helicase 2
AT1G04640	LIP2	K03801	lipoyltransferase 2
AT5G13870	XTH5	K08235	endoxyloglucan transferase A4
AT4G24490	RGTA1	K14050	RAB geranylgeranyl transferase alpha subunit 1
AT3G02950	THO7	K13176	Tho complex subunit 7
AT4G00900	ECA2	K01537	calcium-transporting ATPase 2
AT4G11130	RDR2	K11699	RNA-dependent RNA polymerase 2
AT5G55120	VTC5	K14190	GDP-L-galactose phosphorylase
AT1G01120	KCS1	K15397	3-ketoacyl-CoA synthase 1
AT3G48850	PHT3;2	K15102	phosphate transporter 3;2
AT1G14920	GAI	K14494	DELLA protein GAI
AT5G36150	PEN3	K16205	tirucalladienol synthase
AT5G57360	ZTL	K12115	adagio protein 1
AT3G16630	KINESIN-13A	K10393	kinesin 13A
AT5G57490	VDAC4	K15040	voltage dependent anion channel 4
AT5G19990	RPT6A	K03066	regulatory particle triple-A ATPase 6A
AT3G25070	RIN4	K13456	RPM1 interacting protein 4
AT1G68010	HPR	K15893	hydroxypyruvate reductase
AT3G44680	HDA9	K06067	histone deacetylase 9
AT2G24000	scpl22	K16297	serine carboxypeptidase-like 22
AT1G19080	TTN10	K10734	GINS complex component PSF3
AT4G09320	NDPK1	K00940	nucleoside diphosphate kinase 1
AT3G26650	GAPA	K05298	glyceraldehyde-3-phosphate dehydrogenase A subunit
AT3G11945	HST	K12501	homogentisate prenyltransferase
AT3G61940	MTPA1	K14689	zinc transporter (ZAT) family protein
AT1G05590	HEXO2	K12373	beta-hexosaminidase 2
AT4G18050	PGP9	K05658	P-glycoprotein 9
AT1G19640	JMT	K08241	jasmonic acid carboxyl methyltransferase
AT1G27920	MAP65-8	K16732	microtubule-associated protein 65-8
AT1G76650	CML38	K13448	calcium-binding protein CML38
AT2G44990	CCD7	K17912	carotenoid cleavage dioxygenase 7
AT5G51600	PLE	K16732	microtubule associated protein MAP65-3
AT3G11430	GPAT5	K13508	glycerol-3-phosphate acyltransferase 5
AT1G61810	BGLU45	K05350	beta-glucosidase 45
AT1G06490	GSL07	K11000	callose synthase 7
AT1G14070	FUT7	K13681	fucosyltransferase 7
AT2G30910	ARPC1A	K05757	actin-related protein C1A
AT4G33790	CER4	K13356	fatty acyl-CoA reductase CER4
AT2G19760	PRF1	K05759	profilin 1
AT5G64390	HEN4	K13162	protein HUA ENHANCER 4
AT1G32640	MYC2	K13422	transcription factor MYC2
AT4G15780	VAMP724	K08511	vesicle-associated membrane protein 724
AT2G39200	MLO12	K08472	protein MILDEW RESISTANCE LOCUS O 12
AT3G22320	NRPB5	K03013	DNA-directed RNA polymerase NRPB5
AT5G24550	BGLU32	K01188	beta glucosidase 32
AT3G22890	APS1	K13811	ATP sulfurylase 1
AT5G63310	NDPK2	K00940	nucleoside diphosphate kinase II
AT3G63010	GID1B	K14493	gibberellin receptor GID1B
AT3G27430	PBB1	K02739	20S proteasome beta subunit PBB1
AT5G49910	CPHSC70-2EAT_SHOCK_PROTEIN_70-2	K03283	heat shock protein 70-2
AT1G80560	IMD2	K00052	3-isopropylmalate dehydrogenase 2
AT3G19210	RAD54	K10875	Rad54-like protein
AT1G73310	scpl4	K16296	serine carboxypeptidase-like 4
AT1G80740	CMT1	K00558	chromomethylase 1
AT2G36060	MMZ3	K10704	MMS ZWEI-like protein 3
AT5G35980	YAK1	K18670	YAK1-like protein 1
AT1G55570	sks12	K00423	protein SKU5 similar 12
AT3G55000	TON1A	K16546	protein TONNEAU 1A
AT5G03940	CPSRP54	K03106	chloroplast signal recognition particle 54
AT5G25150	TAF5	K03130	TBP-associated factor 5
AT5G39400	PTEN1	K01110	protein PHOSPHATASE AND TENSIN HOMOLOG DELETED ON CHROMOSOME TEN 1
AT5G36880	ACS	K01895	acetyl-CoA synthetase
AT2G27450	NLP1	K12251	N-carbamoylputrescine amidase
AT4G36220	FAH1	K09755	ferulic acid 5-hydroxylase 1
AT1G79750	NADP-ME4	K00029	NADP-malic enzyme 4
AT2G36660	PAB7	K13126	poly(A) binding protein 7
AT2G41340	RPB5D	K03013	RNA polymerase II fifth largest subunit, D
AT5G17860	CAX7	K13754	calcium exchanger 7
AT1G61720	BAN	K08695	anthocyanidin reductase
AT5G67590	FRO1	K03937	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4
AT1G25220	ASB1	K01658	anthranilate synthase beta subunit 1
AT4G01470	TIP1;3	K09873	aquaporin TIP1-3
AT1G14100	FUT8	K13681	fucosyltransferase 8
AT3G07520	GLR1.4	K05387	glutamate receptor 1.4
AT5G10480	PAS2	K10703	very-long-chain (3R)-3-hydroxyacyl-[acyl-carrier protein] dehydratase PASTICCINO 2
AT2G22430	HB6	K09338	homeobox-leucine zipper protein ATHB-6
AT3G24300	AMT1;3	K03320	ammonium transporter 1;3
AT1G50200	ALATS	K01872	Alanyl-tRNA synthetase
AT3G07525	ATG10	K17888	ubiquitin-like-conjugating enzyme ATG10
AT3G43800	GSTU27	K00799	glutathione S-transferase tau 27
AT1G19910	AVA-P2	K02155	VACUOLAR-TYPE H+ ATPASE C2
AT1G22020	SHM6	K00600	serine hydroxymethyltransferase 6
AT1G75630	AVA-P4	K02155	V-type proton ATPase proteolipid subunit c4
AT5G63920	TOP3A	K03165	topoisomerase 3alpha
AT1G03475	LIN2	K00228	coproporphyrinogen III oxidase
AT2G07050	CAS1	K01853	cycloartenol synthase
AT5G47520	RABA5a	K07904	RAB GTPase homolog A5A
AT3G59790	MPK10	K04371	mitogen-activated protein kinase 10
AT5G54230	MYB49	K09422	putative transcription factor MYB49
AT2G40030	NRPD1B	K16251	nuclear RNA polymerase D1B
AT5G24150	SQP1	K00511	Squalene monooxygenase 5
AT3G03190	GSTF11	K00799	glutathione S-transferase F11
AT2G20490	NOP10	K11130	nucleolar RNA binding protein NOP10
AT5G59720	HSP18.2	K13993	heat shock protein 18.2
AT4G16780	HB-2	K09338	homeobox protein 2
AT3G18100	MYB4R1	K09422	myb domain protein 4r1
AT5G27600	LACS7	K01897	long-chain acyl-CoA synthetase 7
AT4G32150	VAMP711	K08515	vesicle-associated membrane protein 711
AT5G57590	BIO1	K00833	bifunctional dethiobiotin synthetase/7,8-diamino-pelargonic acid aminotransferase
AT4G27440	PORB	K00218	light-dependent NADPH:protochlorophyllide oxidoreductase B
AT5G58220	TTL	K13484	transthyretin-like protein
AT2G46830	CCA1	K12134	protein CCA1
AT5G60100	PRR3	K12131	pseudo-response regulator 3
AT1G48790	AMSH1	K11866	AMSH-like ubiquitin thioesterase 1
AT3G51300	ROP1	K04392	Rac-like GTP-binding protein ARAC11
AT5G10240	ASN3	K01953	asparagine synthetase 3
AT2G22500	UCP5	K15104	mitochondrial dicarboxylate carrier 1
AT1G58290	HEMA1	K02492	glutamyl-tRNA reductase 1
AT1G29930	CAB1	K08912	chlorophyll A/B binding protein 1
AT2G27050	EIL1	K14514	ethylene insensitive 3-like 1 protein
AT5G62700	TUB3	K07375	tubulin beta-2/beta-3 chain
AT3G02990	HSFA1E	K09419	heat stress transcription factor A-1e
AT4G18990	XTH29	K08235	probable xyloglucan endotransglucosylase/hydrolase protein 29
AT3G46940	DUT1	K01520	deoxyuridine 5'-triphosphate nucleotidohydrolase
AT3G46230	HSP17.4	K13993	heat shock protein 17.4
AT2G25180	RR12	K14491	response regulator 12
AT5G62190	PRH75	K16911	DEAD/DEAH box RNA helicase PRH75
AT3G20020	PRMT6	K11437	protein arginine N-methyltransferase 6
AT3G51160	MUR1	K01711	GDP-mannose 4,6 dehydratase 2
AT5G40360	MYB115	K09422	myb domain protein 115
AT4G17300	NS1	K01893	asparaginyl-tRNA synthetase
AT3G58170	BS14A	K08504	BET1P/SFT1P-like protein 14A
AT5G50680	SAE1B	K10684	SUMO-activating enzyme subunit 1B
AT2G31955	CNX2	K03639	cofactor of nitrate reductase and xanthine dehydrogenase 2
AT4G16520	ATG8F	K08341	autophagy-related protein 8f
AT3G23050	IAA7	K14484	auxin-responsive protein IAA7
AT2G36270	ABI5	K14432	protein abscisic acid-insensitive 5
AT1G76090	SMT3	K08242	24-methylenesterol C-methyltransferase 3
AT1G51470	BGLU35	K01237	myrosinase 5
AT5G06460	UBA_2	K03178	ubiquitin-activating enzyme E1 2
AT1G75940	ATA27	K01188	beta-glucosidase 20
AT3G18030	HAL3A	K01598	phosphopantothenoylcysteine decarboxylase
AT3G12110	ACT11	K10355	actin-11
AT4G26000	PEP	K13162	RNA-binding KH domain-containing protein PEPPER
AT3G15730	PLDALPHA1	K01115	phospholipase D alpha 1
AT2G37330	ALS3	K02069	protein aluminum sensitive 3
AT5G01490	CAX4	K07300	vacuolar cation/proton exchanger 4
AT3G05740	RECQI1	K10901	ATP-dependent DNA helicase Q-like 1
AT5G05660	ATNFXL2	K15683	NF-X1-type zinc finger protein NFXL2
AT3G05210	ERCC1	K10849	DNA excision repair protein ERCC-1
AT3G24495	MSH7	K08737	DNA mismatch repair protein Msh6-2
AT5G20070	NUDX19	K03426	nudix hydrolase 19
AT1G56070	LOS1	K03234	elongation factor EF-2-like protein LOS1
AT4G23010	UTR2	K15277	UDP-galactose transporter 2
AT4G17785	MYB39	K09422	transcription factor MYB39
AT1G62710	BETA-VPE	K01369	vacuolar-processing enzyme beta
AT5G40760	G6PD6	K00036	glucose-6-phosphate dehydrogenase 6
AT3G01040	GAUT13	K13648	putative galacturonosyltransferase 13
AT4G12570	UPL5	K10591	E3 ubiquitin-protein ligase UPL5
AT2G04030	CR88	K09487	chloroplast heat shock protein 90
AT3G23730	XTH16	K08235	xyloglucan endotransglucosylase/hydrolase protein 16
AT1G51490	BGLU36	K01237	beta glucosidase 36
AT1G11980	RUB3	K12158	ubiquitin-related protein 3
AT4G23850	LACS4	K01897	long chain acyl-CoA synthetase 4
AT5G44640	BGLU13	K01188	beta glucosidase 13
AT5G20250	DIN10	K06617	putative galactinol--sucrose galactosyltransferase 6
AT4G29080	PAP2	K14484	phytochrome-associated protein 2
AT1G03090	MCCA	K01968	methylcrotonoyl-CoA carboxylase subunit alpha
AT1G70920	HB18	K09338	homeobox-leucine zipper protein ATHB-18
AT2G30920	COQ3	K00591	Hexaprenyldihydroxybenzoate methyltransferase
AT4G08350	GTA2	K15172	global transcription factor group A2
AT2G32370	HDG3	K09338	homeobox-leucine zipper protein HDG3
AT5G05680	MOS7	K14318	protein MODIFIER OF SNC1,7
AT1G17770	SUVH7	K11420	histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH7
AT4G32540	YUC1	K11816	flavin-containing monooxygenase YUCCA1
AT5G23860	TUB8	K07375	tubulin beta-8 chain
AT1G59900	E1_ALPHA	K00161	pyruvate dehydrogenase complex E1 alpha subunit
AT2G19430	DWA1	K13175	WD repeat-containing protein DWA1
AT2G02810	UTR1	K15275	UDP-galactose transporter 1
AT2G36870	XTH32	K08235	probable xyloglucan endotransglucosylase/hydrolase protein 32
AT2G36305	FACE2	K08658	CAAX prenyl protease 2
AT1G06110	SKIP16	K10290	F-box protein SKIP16
AT4G18880	HSF_A4A	K09419	heat stress transcription factor A-4a
AT2G33230	YUC7	K11816	flavin monooxygenase YUCCA7
AT3G01910	SOX	K00387	sulfite oxidase
AT4G32830	AUR1	K08850	serine/threonine-protein kinase aurora-1
AT1G50010	TUA2	K07374	tubulin alpha-2 chain
AT4G31580	SRZ-22	K12896	protein serine/arginine-rich 22
AT2G02560	CAND1	K17263	cullin-associated NEDD8-dissociated protein 1
AT5G61070	HDA18	K11407	histone deacetylase 18
AT5G57690	DGK4	K00901	diacylglycerol kinase 4
AT1G64440	RHD1	K01784	UDP-glucose 4-epimerase
ArthCt114	trnA	K14218	tRNA-Ala
AT3G10340	PAL4	K10775	phenylalanine ammonia-lyase 4
AT5G03160	P58IPK	K09523	mamallian P58IPK-like protein
AT4G04700	CPK27	K13412	calcium-dependent protein kinase 27
AT5G59160	TOPP2	K06269	serine/threonine-protein phosphatase PP1 isozyme 2
AT2G36890	RAX2	K09422	transcription factor RAX2
AT2G02380	GSTZ2	K01800	putative glutathione S-transferase zeta-class 2
AT2G27920	SCPL51	K09646	serine carboxypeptidase-like 51
AT5G45600	GAS41	K11341	GAS 41-like protein
AT3G06483	PDK	K00898	pyruvate dehydrogenase kinase
AT1G06680	PSBP-1	K02717	photosystem II subunit P-1
AT5G55760	SRT1	K11416	sirtuin 1
ArthCp009	atpH	K02110	ATPase III subunit
ArthCp008	atpF	K02109	ATPase subunit I
AT4G34460	AGB1	K04536	guanine nucleotide-binding protein subunit beta
ArthCp004	rps16	K02959	ribosomal protein S16
ArthCp007	atpA	K02111	ATP synthase CF1 alpha chain
ArthCp006	psbI	K02710	photosystem II protein I
ArthCp001	rps12	K02950	ribosomal protein S12
AT5G38110	ASF1B	K10753	histone chaperone ASF1B
ArthCp002	psbA	K02703	photosystem II protein D1
AT1G27320	HK3	K14489	histidine kinase 3
AT5G54310	AGD5	K12486	putative ADP-ribosylation factor GTPase-activating protein AGD5
AT4G26560	CBL7	K06268	calcineurin B-like protein 7
AT2G33150	PKT3	K07513	3-ketoacyl-CoA thiolase 2
AT5G45340	CYP707A3	K09843	abscisic acid 8'-hydroxylase 3
AT1G23310	GGT1	K14272	glutamate:glyoxylate aminotransferase
AT4G01480	PPa5	K01507	pyrophosphorylase 5
ArthCp063	rps19	K02965	30S ribosomal protein S19
AT1G80350	ERH3	K07767	ATPase katanin p60
AT4G32940	GAMMA-VPE	K01369	vacuolar-processing enzyme gamma
AT1G50700	CPK33	K13412	calcium-dependent protein kinase 33
AT5G46290	KAS_I	K09458	beta-ketoacyl-[acyl carrier protein] synthase I
AT1G07370	PCNA1	K04802	proliferating cellular nuclear antigen 1
AT5G65970	MLO10	K08472	MLO-like protein 10
AT5G28290	NEK3	K08857	serine/threonine-protein kinase Nek3
AT3G61150	HDG1	K09338	homeodomain GLABROUS 1
AT5G16715	EMB2247	K01873	protein EMBRYO DEFECTIVE 2247
AT5G53300	UBC10	K06689	ubiquitin-conjugating enzyme E2 10
AT2G30440	TPP	K03100	thylakoid processing peptide
AT1G23860	RSZP21	K12896	serine/arginine-rich splicing factor RSZ21
AT5G03300	ADK2	K00856	adenosine kinase 2
AT4G13420	HAK5	K03549	potassium transporter 5
AT1G20000	TAF11b	K03135	TBP-associated factor 11B
AT5G08020	RPA70B	K07466	RPA70-kDa subunit B
AT1G13700	PGL1	K01057	6-phosphogluconolactonase 1
AT4G21150	HAP6	K12667	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2
AT5G45110	NPR3	K14508	NPR1-like protein 3
AT2G39810	HOS1	K16278	E3 ubiquitin-protein ligase HOS1
AT4G28110	MYB41	K09422	myb domain protein 41
AT2G20810	GAUT10	K13648	probable galacturonosyltransferase 10
AT1G78000	SULTR1;2	K17470	sulfate transporter 1;2
AT5G50320	ELO3	K07739	Elongator complex protein 3
AT1G64230	UBC28	K06689	ubiquitin-conjugating enzyme E2 28
AT3G50660	DWF4	K09587	cytochrome P450 90B1
AT3G25050	XTH3	K08235	xyloglucan endotransglucosylase/hydrolase 3
AT5G14170	CHC1	K11650	chromodomain remodeling complex protein CHC1
AT5G16390	CAC1	K02160	chloroplastic acetylcoenzyme A carboxylase 1
AT3G12720	MYB67	K09422	myb domain protein 67
AT2G01430	HB17	K09338	homeobox-leucine zipper protein ATHB-17
AT5G44460	CML43	K13448	putative calcium-binding protein CML43
AT1G79230	MST1	K01011	mercaptopyruvate sulfurtransferase 1
AT1G20200	EMB2719	K03033	probable 26S proteasome non-ATPase regulatory subunit 3a
AT3G20770	EIN3	K14514	protein ethylene insensitive 3
AT5G13120	CYP20-2	K03768	peptidyl-prolyl cis-trans isomerase CYP20-2
AT4G34260	FUC95A	K15923	alpha-L-fucosidase 2
AT2G21070	FIO1	K06970	protein FIONA1
AT4G21710	NRPB2	K03010	DNA-directed RNA polymerase II subunit RPB2
AT2G38620	CDKB1;2	K07760	cyclin-dependent kinase B1-2
AT5G03760	ATCSLA09	K13680	glucomannan 4-beta-mannosyltransferase 9
AT1G45474	LHCA5	K08911	photosystem I light harvesting complex protein 5
AT1G30520	AAE14	K14760	2-succinylbenzoate--CoA ligase
AT3G53090	UPL7	K10588	E3 ubiquitin-protein ligase UPL7
AT1G70320	UPL2	K10592	ubiquitin-protein ligase 2
AT1G23260	MMZ1	K10704	MMS ZWEI-like protein 1
AT4G14790	ATSUV3	K17675	ATP-dependent RNA helicase
AT5G15170	TDP1	K10862	tyrosyl-DNA phosphodiesterase 1
AT1G01050	PPa1	K01507	pyrophosphorylase 1
AT5G58350	WNK4	K08867	putative serine/threonine-protein kinase WNK4
AT3G17000	UBC32	K10578	ubiquitin-conjugating enzyme E2 32
AT5G04230	PAL3	K10775	phenylalanine ammonia-lyase 3
AT2G35010	TO1	K03671	thioredoxin O1
AT5G03540	EXO70A1	K07195	exocyst subunit exo70 family protein A1
AT5G43850	ARD4	K08967	acireductone dioxygenase 4
AT1G10760	SEX1	K08244	alpha-glucan water dikinase 1
AT3G27920	MYB0	K09422	trichome differentiation protein GL1
AT3G17390	MTO3	K00789	S-adenosylmethionine synthase 4
AT3G61710	ATG6	K08334	autophagy protein 6
AT2G26890	GRV2	K09533	gravitropism defective 2
AT4G28750	PSAE-1	K02693	photosystem I reaction center subunit E
AT1G04980	PDIL2-2	K09584	protein disulfide-isomerase like 2-2
AT1G62180	APR2	K05907	5'-adenylylsulfate reductase 2
AT1G63440	HMA5	K17686	putative copper-transporting ATPase HMA5
AT1G07880	ATMPK13	K04371	mitogen-activated protein kinase 13
AT4G39350	CESA2	K10999	cellulose synthase A catalytic subunit 2 [UDP-forming]
AT4G39210	APL3	K00975	glucose-1-phosphate adenylyltransferase large subunit 3
AT5G59880	ADF3	K05765	actin depolymerizing factor 3
AT1G59610	DL3	K01528	dynamin-2B
AT5G50210	QS	K03517	quinolinate synthase
AT4G34640	SQS1	K00801	Squalene synthase 1
AT3G17465	RPL3P	K02906	50S ribosomal protein L3-2
AT2G17265	HSK	K00872	homoserine kinase
AT4G29040	RPT2a	K03062	regulatory particle AAA-ATPase 2A
AT1G70490	ARFA1D	K07937	ARF GTPase family protein
ArthCt106	trnP	K14232	tRNA-Pro
AT2G17260	GLR2	K05387	glutamate receptor
AT4G37840	HKL3	K00844	hexokinase-like 3
AT5G22110	DPB2	K02325	DNA polymerase epsilon subunit B2
AT5G13630	GUN5	K03403	magnesium chelatase subunit H
AT3G03520	NPC3	K01114	non-specific phospholipase C3
AT1G05260	RCI3	K00430	peroxidase 3
AT1G73410	MYB54	K09422	myb domain protein 54
AT3G27690	LHCB2.3	K08913	photosystem II light harvesting complex protein 2.3
AT4G14700	ORC1A	K02603	origin recognition complex subunit 1
AT5G27540	MIRO1	K07870	MIRO-related GTP-ase 1
AT3G59970	MTHFR1	K00297	methylenetetrahydrofolate reductase 1
AT3G44560	FAR8	K13356	fatty acyl-CoA reductase 8
AT3G03250	UGP1	K00963	UDP-GLUCOSE PYROPHOSPHORYLASE 1
AT1G68460	IPT1	K10760	adenylate isopentenyltransferase 1
AT1G04180	YUC9	K11816	flavin-containing monooxygenase YUCCA9
AT5G08370	AGAL2	K07407	alpha-galactosidase 2
AT3G47690	EB1A	K10436	microtubule end binding protein EB1A
AT2G31200	ADF6	K05765	actin depolymerizing factor 6
AT1G07320	RPL4	K02926	50S ribosomal protein L4
ArthCr087	rrn23S	K01982	23S ribosomal RNA
ArthCr086	rrn16S	K01979	16S ribosomal RNA
AT3G09530	EXO70H3	K07195	exocyst subunit exo70 family protein H3
AT5G16970	AER	K08070	2-alkenal reductase
AT1G05300	ZIP5	K14709	zinc transporter 5
AT4G20400	JMJ14	K11446	probable lysine-specific demethylase JMJ14
AT3G54890	LHCA1	K08907	chlorophyll a-b binding protein 6
AT1G52240	ROPGEF11	K10418	RHO guanyl-nucleotide exchange factor 11
AT5G49160	MET1	K00558	DNA (cytosine-5)-methyltransferase 1
AT2G43820	UGT74F2	K13691	UDP-glucosyltransferase 74F2
AT4G37000	ACD2	K13545	red chlorophyll catabolite reductase
AT2G29460	GSTU4	K00799	glutathione S-transferase tau 4
AT2G45070	SEC61_BETA	K09481	protein transport protein sec61 subunit beta
AT4G11830	PLDGAMMA2	K01115	phospholipase D gamma 2
AT4G28620	ATM2	K05663	ABC transporter B family member 24
AT2G42070	NUDX23	K18453	nudix hydrolase 23
AT3G48110	EDD1	K14164	glycyl-tRNA synthetase 2
AT2G28640	EXO70H5	K07195	exocyst subunit exo70 family protein H5
AT4G26570	CBL3	K06268	calcineurin B-like 3
AT5G16570	GLN1;4	K01915	glutamine synthetase 1;4
AT2G39780	RNS2	K01166	ribonuclease 2
AT1G47210	CYCA3;2	K06627	cyclin-dependent protein kinase 3;2
AT3G18820	RAB7B	K07897	Ras-related protein RABG3f
AT3G63150	MIRO2	K07870	MIRO-related GTP-ase 2
AT1G02400	GA2OX6	K04125	gibberellin 2-oxidase 6
AT1G15440	PWP2	K14558	periodic tryptophan protein 2
AT4G32520	SHM3	K00600	serine hydroxymethyltransferase 3
AT3G12980	HAC5	K04498	histone acetyltransferase HAC5
AT1G60930	RECQ4B	K10901	RECQ helicase L4B
AT1G73250	GER1	K02377	GDP-4-keto-6-deoxymannose-3,5-epimerase-4-reductase 1
AT1G32210	ATDAD1	K12668	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1
ArthMp085	rps12	K02950	ribosomal protein S12
AT2G25940	ALPHA-VPE	K01369	alpha-vacuolar processing enzyme
AT2G40490	HEME2	K01599	Uroporphyrinogen decarboxylase
AT3G44300	NIT2	K01501	nitrilase 2
ArthCt097	trnE	K14224	tRNA-Glu
AT2G31770	ARI9	K11968	putative E3 ubiquitin-protein ligase ARI9
AT5G22420	FAR7	K13356	putative fatty acyl-CoA reductase 7
AT3G08900	RGP3	K13379	UDP-arabinopyranose mutase 3
AT2G20000	HBT	K03350	cell division cycle protein 27-B
AT4G24250	MLO13	K08472	MLO-like protein 13
AT5G37300	WSD1	K15406	o-acyltransferase WSD1
AT4G18040	EIF4E	K03259	translation initiation factor eIF-4E
AT2G24010	scpl23	K16297	serine carboxypeptidase-like 23
AT4G00240	PLDBETA2	K01115	phospholipase D beta 2
AT1G56410	ERD2	K03283	heat shock protein ERD2
AT4G36810	GGPS1	K13789	geranylgeranyl pyrophosphate synthase 1
AT3G27740	CARA	K01956	carbamoyl phosphate synthetase A
AT5G59440	ZEU1	K00943	protein ZEU1 (ZEUS1)
AT3G59100	GSL11	K11000	putative callose synthase 6
AT4G40060	HB16	K09338	homeobox-leucine zipper protein ATHB-16
AT4G35350	XCP1	K16290	xylem cysteine proteinase 1
AT2G13360	AGT	K00830	alanine--glyoxylate aminotransferase
AT1G17380	JAZ5	K13464	protein TIFY 11A
AT2G38560	TFIIS	K03145	transcript elongation factor IIS
AT2G28800	ALB3	K03217	inner membrane protein ALBINO3
AT1G05610	APS2	K00975	ADP-glucose pyrophosphorylase small subunit 2
AT1G63460	GPX8	K00432	glutathione peroxidase 8
AT3G45780	PHOT1	K08282	phototropin 1
AT3G08500	MYB83	K09422	myb domain protein 83
AT1G32380	PRS2	K00948	ribose-phosphate pyrophosphokinase 2
AT3G21350	MED6	K15128	mediator of RNA polymerase II transcription subunit 6
AT3G02580	STE1	K00227	delta(7)-sterol-C5(6)-desaturase 1
AT4G11010	NDPK3	K00940	nucleoside diphosphate kinase 3
AT3G22880	DMC1	K10872	meiotic recombination protein DMC1-like protein
AT3G45140	LOX2	K00454	lipoxygenase 2
